frase,palabra,significado_correcto,traduccion_es,Significados_es
我很惊讶在这儿看到你。,看,,Me sorprende verte aquí.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
這是你的筆嗎？,是,,¿Esta es tu pluma?,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
我们希望你来我们的聚会。,望,,Queremos que vengas a nuestra fiesta.,luna llena; a la esperanza; esperar; para visitar; para contemplar (en la distancia); mirar hacia; hacia
他不再住在這裡了。,了,,Ya no vive aquí.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
耶路撒冷是犹太人的圣城。,是,,Jerusalén es la ciudad santa del pueblo judío.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
當爸爸的必須至少會煮蛋。,至,,Cuando papá tenga que al menos cocinar los huevos.,llegar; mayoría; a; hasta
我去你那蹭饭吃。,那,,Voy a comer en tu casa.,(arcaico) muchos; hermoso; cómo; Vieja variante de 挪 [NUO2]
那是另一种方言，你听起来当然奇怪了。,一,,"Ese es otro dialecto, claro que suenas extraño.","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
他拿起筆，寫了起來。,拿,,Tomó la pluma y la escribió.,para sostener; apoderarse; atrapar; aprehender; tomar; (utilizado de la misma manera que 把 [BA3]: para marcar el siguiente sustantivo como objeto directo)
湯姆幫瑪麗買了她所有需要買的東西。,有,,Tom compró a Mary todo lo que necesitaba.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
汤姆有些散漫。,有,,Tom está un poco disperso.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
我再也不要汤姆留下来。,要,,No quiero que Tom se quede más.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
我昨天早上看到了很多鸟。,看,,Vi un montón de pájaros ayer por la mañana.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
当你看到这张图时，你在想什么？,看,,¿En qué estabas pensando cuando viste esta foto?,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
萨米已婚12次了。,了,,Sami se casó 12 veces.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
你好，格罗宁根！,格,,"¡Hola, Groningen!",cuadrado; marco; regla; Caso (legal); estilo; personaje; estándar; patrón; Caso (gramática); (clásico) para obstruir; obstaculizar; (clásico) para llegar; por venir; (clásico) para investigar; estudiar exhaustivamente
“你还真是笨手笨脚。”“闭上你的大嘴。不用你说我也知道！”,道,,"""Eres muy torpe."" ""Cierra la boca, no necesito que me digas eso.""","camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
那个作家生活在小木屋中。,中,,Ese escritor vive en una cabaña.,"para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
她有一整籃的蘋果。,有,,Tiene toda una cesta de manzanas.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
因此，天氣一點也不熱。,一,,"Como resultado, el clima no es caliente en absoluto.","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
你昨天就该告诉我了。,了,,Deberías habérmelo dicho ayer.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
他忙于写故事。,事,,Está ocupado escribiendo historias.,"asunto; cosa; artículo; trabajar; amorío; CL: 件 [Jian4], 樁 | 桩 [Zhuang1], 回 [Hui2]"
正整数126的素因数为2、3、3和7。,正,,"Los coeficientes para el conjunto positivo de 126 son 2, 3 y 7.",derecho; vertical; adecuado; principal; principal; para corregir; para rectificar; exactamente; solo (en ese momento); derecho (en ese lugar); (Matemáticas) Positivo
我们的身体会对我们的感情做出反应。,反,,Nuestros cuerpos responden a nuestros sentimientos.,contrario; marcha atrás; dentro o al revés; para revertir; para regresar; oponerse; opuesto; contra; anti-; rebelarse; para usar analogía; en cambio; abbr. Para el sistema fonético 反切 [FAN3 QIE4]
那个男人的尸体至今仍未被找到。,找,,El cuerpo del hombre aún no ha sido encontrado.,para tratar de encontrar; buscar; llamar a SB; encontrar; buscar; para regresar; Para dar cambio
"你可能認為那些鞋子很時髦, 但是他們不是。",但,,"Probablemente pienses que esos zapatos están de moda, pero no lo están.",pero; todavía; sin embargo; aún; meramente; solo; justo
大家看看划不划算？,看,,Veamos si es una ganga.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
买房要量力而行，但也要把握时机。,但,,"Comprar casas es una cuestión de esfuerzo, pero también es una cuestión de tiempo.",pero; todavía; sin embargo; aún; meramente; solo; justo
她在教堂里坐我旁边。,教,,Se sienta a mi lado en la iglesia.,religión; enseñanza; hacer; causar; para contar
我只见过他一次。,一,,Sólo lo conocí una vez.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
不是很辣。,是,,No muy caliente.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
我想成為一個體育記者。,一,,Quiero ser periodista deportivo.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
NTT這個縮寫是什麼意思？,意思,,¿Qué significa NTT por iniciales?,"idea; opinión; significado; desear; deseo; interés; divertido; Token de apreciación, afecto, etc. CL: 個 | 个 [GE4]; dar como una pequeña ficha; hacer sth como un gesto de buena voluntad, etc."
我不太擅长打高尔夫球。,打,,No soy muy bueno en el golf.,vencer; atacar; golpear; romper; para escribir; mezclar; construir; luchar; buscar; hacer; para atar; para emitir; disparar; calcular; jugar (un juego); desde; de
我告诉过你不要叫我“汤姆”吧？,叫,,"Te dije que no me llamaras Tom, ¿verdad?",gritar; llamar; para ordenar; preguntar; ser llamado; por (indica agente en el estado de ánimo pasivo)
你不要死。,要,,No te mueras.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
这样想的人很少。,人,,Muy pocas personas piensan de esa manera.,"persona; gente; CL: 個 | 个 [GE4], 位 [wei4]"
她相信我是无辜的了。,了,,Cree que soy inocente.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
湯姆輸入密碼。,入,,Tom ha introducido la contraseña.,"para entrar; para entrar; para unirse; convertirse en miembro de; (forma unida) para ajustarse a (como en 入時 | 入时 [ru4shi2]); abbr. para 入聲 | 入声 [ru4sheng1]; (En el embalaje del producto, después de {número n} + {clasificador}) que contiene (n piezas) (de japonés 入 ""iri"")"
你看的书越多，你知道的越多。,道,,"Cuanto más leas, más sabes.","camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
男人是猎人而女人就是他的猎物。,而,,Un hombre es un cazador y una mujer es su presa.,y; así como también; y entonces; pero (no); todavía (no); (indica una relación causal); (indica el cambio de estado); (indica contraste)
成千上万的人想要知道答案。,道,,Miles de personas quieren respuestas.,"camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
這是程度的問題。,是,,Esa es la magnitud del problema.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
问问他会不会说日语。,日,,Pregúntale si habla japonés.,"sol; día; Fecha, día del mes"
舉例說，如果一個老師警告學生不要吸煙，但自己卻每天吸個不停，那麼這個警告就是自相矛盾的了。,但,,"Por ejemplo, si un maestro advierte a un estudiante que no fume, sino que fume todos los días, entonces la advertencia es contradictoria.",pero; todavía; sin embargo; aún; meramente; solo; justo
非常感谢。,常,,Muchas gracias.,siempre; alguna vez; a menudo; frecuentemente; común; general; constante
他提议大家一起去游泳。,一,,Sugirió que todos fuéramos a nadar juntos.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
Carl，你被钱迷住了。,了,,"Carl, estás obsesionado con el dinero.","para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
明天下午他在醫院。,在,,Está en el hospital mañana por la tarde.,existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso)
沒什麼事就不要找我，有事了更不要找我。,有,,No me llames si necesitas algo.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
我每天都用谷歌。,都,,Uso Google todos los días.,ciudad capital; metrópoli
你的面试如何？,面,,¿Cómo estuvo tu entrevista?,"rostro; lado; superficie; aspecto; arriba; Clasificador para objetos con superficies planas como tambores, espejos, banderas, etc."
我要几个土豆。,要,,Tomaré unas patatas.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
他们说他非常勤奋。,常,,Dijeron que era muy diligente.,siempre; alguna vez; a menudo; frecuentemente; común; general; constante
你的手臂怎麼了？,手,,¿Qué le pasó a tu brazo?,"mano; (formal) para sostener; persona dedicada a ciertos tipos de trabajo; persona experta en ciertos tipos de trabajo; personalmente); conveniente; clasificador para habilidad; Cl: 雙 | 双 [shuang1], 隻 | 只 [zhi1]"
我从一开始就错了。,一,,Me equivoqué desde el principio.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
米克為嬰兒取名為理查。,名,,Mick llamó al bebé Richard.,"nombre; sustantivo (parte del discurso); lugar (por ejemplo, entre los ganadores); famoso; clasificador para la gente"
如果你认真学习，就有希望通过考试。,有,,"Si estudias duro, tienes la esperanza de aprobar el examen.",tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
湯姆是瑪麗的繼子。,是,,Tom es el hijastro de Mary.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
這把刀不好切東西。,刀,,Este cuchillo no corta cosas.,cuchillo; cuchilla; espada de un solo filo; chafarote; CL: 把 [BA3]; (jerga) dólar (palabra de préstamo); clasificador para conjuntos de cien hojas (de papel); Clasificador para cortes de cuchillo o puñaladas
他們沒有信守諾言。,有,,No cumplieron sus promesas.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
你非常勇敢。,常,,Eres muy valiente.,siempre; alguna vez; a menudo; frecuentemente; común; general; constante
她把東西吃得一乾二淨。,一,,Se lo come todo limpio.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
Mario是義大利的公民 。,是,,Mario es ciudadano de Italia.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
你每個月花多少錢呀？,花,,¿Cuánto gastas cada mes?,"flor; florecer; Cl: 朵 [duo3], 支 [zhi1], 束 [shu4], 把 [ba3], 盆 [Pen2], 簇 [Cu4]; patrón elegante; florido; gastar (dinero, tiempo); (coll.) lujurioso; libidinoso"
她詳細陳報了旅行過程中的突發事件，並提出改進建議。,中,,Dio una descripción detallada de los acontecimientos inesperados en el proceso de viaje y sugirió cambios.,"para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
他們想在艾菲爾鐵塔前面拍張結婚照。,面,,Quieren tomar una foto de boda frente a la Torre Eiffel.,"rostro; lado; superficie; aspecto; arriba; Clasificador para objetos con superficies planas como tambores, espejos, banderas, etc."
你就算多努力，也不可能在一兩個星期內做完。,一,,"Incluso si te esfuerzas más, no puedes hacerlo en una o dos semanas.","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
四個人用餐。,人,,Cuatro personas para comer.,"persona; gente; CL: 個 | 个 [GE4], 位 [wei4]"
我很幸運，被選中了。,中,,Tengo suerte de que me hayan elegido.,"para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
我不会上当的。,不,,No caeré en la trampa.,No; no así; (forma unida) no; Naciones Unidas-
我不很开心。,心,,No soy feliz.,"corazón; mente; intención; centro; centro; CL: 顆 | 颗 [Ke1], 個 | 个 [GE4]"
我不喜歡假陽具，我更偏愛真的𣬠𣬶。,真,,"No me gustan los consoladores falsos, prefiero los consoladores de verdad.",en realidad; realmente; en efecto; real; verdadero; genuino
交通事故没有一天是不在发生的。,有,,Un accidente de tráfico no ocurre en un día.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
别哭了！哭也不能解决问题。,不能,,"Deja de llorar, llorar no resuelve nada.",no puedo; no debe; no debería
我无法忍受这里的寒冷。,里,,No soporto el frío aquí.,"li, medida antigua de longitud, aprox. 500 m; vecindario; Antigua unidad administrativa de 25 familias; (TW) Borough, Unidad Administrativa entre el municipio 鎮 | 镇 [Zhen4] y el vecindario 鄰 | 邻 [Lin2] Niveles"
经过几十年的山林绿化事业，秃头山基本上都被消灭了。,年,,"Después de décadas de verdor, las montañas calvas fueron eliminadas en gran medida.",año; CL: 個 | 个 [GE4]
我焦急地在等着去聚会。,地,,Estoy ansioso por ir a la fiesta.,tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4]
第一学期四月份开始。,一,,El primer mandato comienza en abril.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
也許你舔了它?,了,,¿Tal vez lo lamiste?,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
幸福是由自己的心决定的。,心,,La felicidad está determinada por tu propio corazón.,"corazón; mente; intención; centro; centro; CL: 顆 | 颗 [Ke1], 個 | 个 [GE4]"
他好像知道這個秘密。,道,,Parece saber el secreto.,"camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
我再也不想看到她。,看,,No quiero volver a verla.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
你在准备论文答辩吗？,文,,¿Estás preparando tu tesis?,idioma; cultura; escribiendo; formal; literario; amable; (antiguo) clasificador para monedas; Kangxi Radical 67
她找到了一份打字員的工作。,一,,Encontró un trabajo como mecanógrafa.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我就是這樣把機器造出來的。,是,,Así es como construí la máquina.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
吉米试图说服他父母让他和他的朋友开车跨国旅行。,行,,Jimmy trató de convencer a sus padres para que él y sus amigos condujeran por todo el país.,(forma unida) para caminar; ir; viajar; (literario) viaje; viaje; visita; (forma unida) temporal; improvisado; (forma unida) corriente; en circulación; (forma unida) para hacer; para realizar; capaz; competente; está bien; ¡DE ACUERDO!; servirá; comportamiento; conducta (Taiwán Pr. [Xing4]); (literario) a punto de; pronto
你要相信我。,要,,Tienes que creerme.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
她搭計程車到博物館。,到,,Tomó un taxi al museo.,alcanzar; llegar; para irse por; para ir; a (un lugar); hasta (una hora); hasta cierto punto); (complemento verbal que indica llegar a un lugar o alcanzar un punto); considerado; considerado; exhaustivo
我打電話過去時，瑪莉已經做了一小時的針線活兒。,一,,"Cuando llamé, Mary había estado haciendo un trabajo de aguja durante una hora.","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我猜她超過三十歲了。,了,,Supongo que tiene más de 30 años.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我正在幻想。,正,,Estoy fantaseando.,derecho; vertical; adecuado; principal; principal; para corregir; para rectificar; exactamente; solo (en ese momento); derecho (en ese lugar); (Matemáticas) Positivo
"春天過去了, 夏天開始了。",了,,"Se acabó la primavera, se acabó el verano.","para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
他说话的样子好像知道你所有的事情。,道,,Habla como si lo supiera todo sobre ti.,"camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
你们想喝茶还是咖啡？,是,,¿Quieres un poco de té o café?,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
未經允許請勿進入這個房間。,入,,No entre en esta habitación sin permiso.,"para entrar; para entrar; para unirse; convertirse en miembro de; (forma unida) para ajustarse a (como en 入時 | 入时 [ru4shi2]); abbr. para 入聲 | 入声 [ru4sheng1]; (En el embalaje del producto, después de {número n} + {clasificador}) que contiene (n piezas) (de japonés 入 ""iri"")"
我不想念他们。,不,,No quiero leerlos.,No; no así; (forma unida) no; Naciones Unidas-
她以前是一位老師。,位,,Solía ser profesora.,"posición; ubicación; lugar; asiento; clasificador para personas (honoríficas); clasificador para bits binarios (por ejemplo, 十六位 十六位 十六位 十六位 十六位 十六位 16 bits o 2 bytes); (Física) potencial"
