Palabra,Pinyin,Significados_en,Significados_es,Score,Audio_URL
上,shang,(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above,(forma unida) arriba; superior; arriba; anterior; primero (de múltiples partes); para escalar; para entrar; subir; asistir (clase o universidad); (complemento direccional) arriba; (sustantivo sufijo) encendido; arriba,9291636,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob
而,er,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast),y; así como también; y entonces; pero (no); todavía (no); (indica una relación causal); (indica el cambio de estado); (indica contraste),9166912,https://translate.google.com/translate_tts?ie=UTF-8&q=而&tl=zh&client=tw-ob
道,dao,"road; path (CL:條|条[tiao2],股[gu3]); (bound form) way; reason; principle; (bound form) a skill; an art; a specialization; (Daoism) the Way; the Dao; to say (introducing a direct quotation, as in a novel); (bound form) to express; to extend (polite words); classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)","camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)",8994880,https://translate.google.com/translate_tts?ie=UTF-8&q=道&tl=zh&client=tw-ob
和,he,to mix (ingredients) together; to blend; classifier for rinses of clothes; classifier for boilings of medicinal herbs,para mezclar (ingredientes) juntos; para mezclar; clasificador para enjuagues de ropa; Clasificador para forrajes de hierbas medicinales,8893040,https://translate.google.com/translate_tts?ie=UTF-8&q=和&tl=zh&client=tw-ob
看,kan,to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (a patient or illness); to depend on; to feel (that); (after a verb) to give it a try; to watch out for,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta,8063561,https://translate.google.com/translate_tts?ie=UTF-8&q=看&tl=zh&client=tw-ob
前,qian,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly,"frente; adelante; adelante; primero; arriba (seguido de un número); futuro; atrás; antes; BC (por ejemplo, 前 293年); anterior; antes",7596259,https://translate.google.com/translate_tts?ie=UTF-8&q=前&tl=zh&client=tw-ob
走,zou,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning)","caminar; ir; correr; para moverse (del vehículo); para visitar; para irse; para irse; morir (euph.); de; a través de; lejos (en verbos compuestos, como 撤走 [Che4 zou3]); Cambiar (forma, forma, significado)",7262928,https://translate.google.com/translate_tts?ie=UTF-8&q=走&tl=zh&client=tw-ob
在,zai,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso),6551235,https://translate.google.com/translate_tts?ie=UTF-8&q=在&tl=zh&client=tw-ob
地,di,earth; ground; field; place; land; CL:片[pian4],tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4],5779476,https://translate.google.com/translate_tts?ie=UTF-8&q=地&tl=zh&client=tw-ob
白,bai,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera,blanco; de mucha nieve; puro; brillante; vacío; blanco; plano; claro; para dejar en claro; en vano; gratuito; gratis; reaccionario; anticomunista; funeral; mirar fríamente; escribir el carácter incorrecto; para indicar; para explicar; vernáculo; líneas habladas en ópera,5409306,https://translate.google.com/translate_tts?ie=UTF-8&q=白&tl=zh&client=tw-ob
使,shi,to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger,hacer; causar; para habilitar; para usar; emplear; para enviar; para instruir a SB que haga sth; enviado; mensajero,5237055,https://translate.google.com/translate_tts?ie=UTF-8&q=使&tl=zh&client=tw-ob
到,dao,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough,alcanzar; llegar; para irse por; para ir; a (un lugar); hasta (una hora); hasta cierto punto); (complemento verbal que indica llegar a un lugar o alcanzar un punto); considerado; considerado; exhaustivo,5133525,https://translate.google.com/translate_tts?ie=UTF-8&q=到&tl=zh&client=tw-ob
即,ji,namely; that is; i.e.; prompt; at once; at present; even if; prompted (by the occasion); to approach; to come into contact; to assume (office); to draw near,a saber; eso es; es decir.; inmediato; inmediatamente; Actualmente; incluso si; provocado (por la ocasión); acercarse; para entrar en contacto; asumir (oficina); para acercarse,4993488,https://translate.google.com/translate_tts?ie=UTF-8&q=即&tl=zh&client=tw-ob
以,yi,to use; by means of; according to; in order to; because of; at (a certain date or place),para usar; mediante; de acuerdo a; con el fin de; debido a; en (una cierta fecha o lugar),4899816,https://translate.google.com/translate_tts?ie=UTF-8&q=以&tl=zh&client=tw-ob
正,zheng,straight; upright; proper; main; principal; to correct; to rectify; exactly; just (at that time); right (in that place); (math.) positive,derecho; vertical; adecuado; principal; principal; para corregir; para rectificar; exactamente; solo (en ese momento); derecho (en ese lugar); (Matemáticas) Positivo,4569323,https://translate.google.com/translate_tts?ie=UTF-8&q=正&tl=zh&client=tw-ob
快,kuai,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant,rápido; rápido; velocidad; tasa; pronto; casi; para apresurar; inteligente; agudo (de cuchillos o ingenio); directo; franco; gratificado; complacido; agradable,4306708,https://translate.google.com/translate_tts?ie=UTF-8&q=快&tl=zh&client=tw-ob
老,lao,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough,"prefijo utilizado antes del apellido de una persona o un número que indica el orden de nacimiento de los niños en una familia o para indicar afecto o familiaridad; viejo (de la gente); venerable (persona); experimentado; de larga data; siempre; todo el tiempo; del pasado; muy; anticuado; (de carne, etc.) duro",4044183,https://translate.google.com/translate_tts?ie=UTF-8&q=老&tl=zh&client=tw-ob
要,yao,to want; to need; to ask for; will; shall; about to; need to; should; if (same as 要是[yao4 shi5]); (bound form) important,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante,3914525,https://translate.google.com/translate_tts?ie=UTF-8&q=要&tl=zh&client=tw-ob
中,zhong,"to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery)","para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)",3891056,https://translate.google.com/translate_tts?ie=UTF-8&q=中&tl=zh&client=tw-ob
又,you,(once) again; also; both... and...; and yet; (used for emphasis) anyway,(una vez más; también; Ambos ... y ...; Y todavía; (usado para énfasis) De todos modos,3768725,https://translate.google.com/translate_tts?ie=UTF-8&q=又&tl=zh&client=tw-ob
用,yong,to use; to make use of; to employ; (coverb) with; using; to need; to have to (usu. used in the negative or in questions); usefulness; utility; (bound form) expense; outlay; (courteous) to eat; to drink; (literary) hence; therefore,para usar; para usar; emplear; (cobertura) con; usando; necesitar; tener que (usu. Usado en las preguntas negativas o en las preguntas); utilidad; utilidad; (forma unida) gasto; desembolso; (cortés) para comer; beber; (literario) Por lo tanto; por lo tanto,3752714,https://translate.google.com/translate_tts?ie=UTF-8&q=用&tl=zh&client=tw-ob
成,cheng,to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth,para tener éxito; para terminar; para completar; para lograr; convertirse; convertirse en; estar bien; ¡DE ACUERDO!; una décima parte,3635280,https://translate.google.com/translate_tts?ie=UTF-8&q=成&tl=zh&client=tw-ob
其,qi,his; her; its; their; that; such; it (refers to sth preceding it),su; su; es; su; eso; semejante; (se refiere a sth que lo precede),3494778,https://translate.google.com/translate_tts?ie=UTF-8&q=其&tl=zh&client=tw-ob
本,ben,"(bound form) root; stem; (bound form) origin; source; (bound form) one's own; this; (bound form) this; the current (year etc); (bound form) original; (bound form) inherent; originally; initially; capital; principal; classifier for books, periodicals, files etc","(forma unida) raíz; provenir; (forma unida) origen; fuente; (forma unida) la suya; este; (forma unida) esto; el actual (año etc.); (forma unida) original; (forma unida) inherente; originalmente; inicialmente; capital; principal; clasificador para libros, publicaciones periódicas, archivos, etc.",3418767,https://translate.google.com/translate_tts?ie=UTF-8&q=本&tl=zh&client=tw-ob
出,chu,"to go out; to come out; to arise; to occur; to produce; to yield; to go beyond; to exceed; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc","salir; salir; surgir; ocurrir; para producir; ceder; ir más allá; exceder; (usado después de un verbo para indicar una dirección externa o un resultado positivo); clasificador para dramas, obras de teatro, óperas, etc.",3090492,https://translate.google.com/translate_tts?ie=UTF-8&q=出&tl=zh&client=tw-ob
次,ci,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time","siguiente en secuencia; segundo; el segundo (día, hora, etc.); secundario; vicio-; sub-; infra-; calidad inferior; deficiente; orden; secuencia; hipo- (química); Clasificador para eventos enumerados: tiempo",3033043,https://translate.google.com/translate_tts?ie=UTF-8&q=次&tl=zh&client=tw-ob
方,fang,"square; power or involution (math.); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter","cuadrado; poder o invitación (matemáticas); vertical; honesto; justo y cuadrado; dirección; lado; parte (a un contrato, disputa, etc.); lugar; método; receta (medicina); justo cuando; solo o justo; clasificador para cosas cuadradas; abbr. para metro cuadrado o cúbico",2962350,https://translate.google.com/translate_tts?ie=UTF-8&q=方&tl=zh&client=tw-ob
也,ye,also; too; as well; (not ...) either; (used after a verbal or nominal expression X to indicate that X is an extreme or unexpected case) even (X); (literary) particle having functions similar to 啊[a5],también; también; también; (no ...) tampoco; (utilizado después de una expresión verbal o nominal x para indicar que x es un caso extremo o inesperado) incluso (x); (literaria) Partículas que tienen funciones similares a 啊 [A5],2770659,https://translate.google.com/translate_tts?ie=UTF-8&q=也&tl=zh&client=tw-ob
所,suo,"actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]","de hecho; lugar; clasificador para casas, edificios pequeños, instituciones, etc. lo que; partículas introduciendo una cláusula relativa o pasiva; CL: 個 | 个 [GE4]",2752632,https://translate.google.com/translate_tts?ie=UTF-8&q=所&tl=zh&client=tw-ob
再,zai,"again; once more; re-; further; beyond this point of time; (before an adjective) more; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis); (used to introduce additional information, as in 再則|再则[zai4ze2], 再就是[zai4jiu4shi4] etc); (literary) to reappear; to reoccur","de nuevo; una vez más; re-; más; Más allá de este punto de tiempo; (antes de un adjetivo) más; luego (después de Sth, y no hasta entonces); No importa cómo ... (seguido de un adjetivo o verbo, y luego (generalmente) 也 [ye3] o 都 [dou1] para énfasis); (utilizado para introducir información adicional, como en 再則 | 再则 [Zai4ze2], 再就是 [Zai4jiu4shi4] etc.); (literario) para reaparecer; para volver a ocurrir",2719843,https://translate.google.com/translate_tts?ie=UTF-8&q=再&tl=zh&client=tw-ob
被,bei,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊|被旅游[bei4 lu:3you2] to ""go on a trip"")","colcha; para cubrir (con); (literario) sufrir (una desgracia); se usa para indicar la voz pasiva (colocada ante el hacedor de la acción como ""por"" en las oraciones de voz pasiva inglesa, o, si no se menciona el hacedor, antes del verbo); (desde c. 2009) (sarcástico o jocoso) solía indicar que la siguiente palabra debe considerarse como cotizaciones de aire (como en 被旅遊 | 被旅游 [bei4 lu: 3you2] para ""hacer un viaje"")",2671125,https://translate.google.com/translate_tts?ie=UTF-8&q=被&tl=zh&client=tw-ob
跟,gen,heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns),tacón; seguir de cerca; para ir con; (de una mujer) para casarse con SB; con; comparado con; a; hacia; y (uniendo dos sustantivos),2623833,https://translate.google.com/translate_tts?ie=UTF-8&q=跟&tl=zh&client=tw-ob
管,guan,to take care (of); to control; to manage; to be in charge of; to look after; to run; to care about; tube; pipe; woodwind; classifier for tube-shaped objects; particle similar to 把[ba3] in 管...叫 constructions; writing brush; (coll.) to; towards,cuidar (de); para controlar; para administrar; estar a cargo de; cuidar; correr; cuidar; tubo; tubo; viento de madera; clasificador para objetos en forma de tubo; partícula similar a 把 [BA3] en 管 ... 叫 Construcciones; cepillo de escritura; (coll.) a; hacia,2574900,https://translate.google.com/translate_tts?ie=UTF-8&q=管&tl=zh&client=tw-ob
可以,ke yi,can; may; possible; able to; not bad; pretty good,poder; puede; posible; capaz de; nada mal; bastante bien,2554488,https://translate.google.com/translate_tts?ie=UTF-8&q=可以&tl=zh&client=tw-ob
多,duo,many; much; more; a lot of; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duo2]); (bound form) multi-; poly-,muchos; mucho; más; mucho; demasiado; en exceso; (después de un número) ... impar; cómo (en qué medida) (Taiwán pr. [duo2]); (forma unida) múltiple; escuela politécnica-,2472500,https://translate.google.com/translate_tts?ie=UTF-8&q=多&tl=zh&client=tw-ob
掉,diao,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)","caer; dejar caer; Para retrasarse; perder; para desaparecer; para reducir; caída (en precios); perder (valor, peso, etc.); a menear; balancearse; para girar; cambiar; para intercambiar; para intercambiar; para presumir; para arrojar (cabello); (utilizado después de ciertos verbos para expresar la finalización, el cumplimiento, la eliminación, etc.)",2411416,https://translate.google.com/translate_tts?ie=UTF-8&q=掉&tl=zh&client=tw-ob
工作,gong zuo,"to work; (of a machine) to operate; job; work; task; CL:個|个[ge4],份[fen4],項|项[xiang4]","trabajar; (de una máquina) para operar; trabajo; trabajar; tarea; CL: 個 | 个 [GE4], 份 [fen4], 項 | 项 [xiang4]",2389212,https://translate.google.com/translate_tts?ie=UTF-8&q=工作&tl=zh&client=tw-ob
回,hui,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),a un círculo; volver; dar la vuelta; para responder; para regresar; para girar; Grupo étnico Hui (musulmanes chinos); tiempo; clasificador para actos de una obra; sección o capítulo (de un libro clásico),2357200,https://translate.google.com/translate_tts?ie=UTF-8&q=回&tl=zh&client=tw-ob
能,neng,can; to be able to; might possibly; ability; (physics) energy,poder; poder; posiblemente podría; capacidad; (Física) Energía,2327400,https://translate.google.com/translate_tts?ie=UTF-8&q=能&tl=zh&client=tw-ob
反,fan,contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 反切[fan3 qie4] phonetic system,contrario; marcha atrás; dentro o al revés; para revertir; para regresar; oponerse; opuesto; contra; anti-; rebelarse; para usar analogía; en cambio; abbr. Para el sistema fonético 反切 [FAN3 QIE4],2281500,https://translate.google.com/translate_tts?ie=UTF-8&q=反&tl=zh&client=tw-ob
之,zhi,"(possessive particle, literary equivalent of 的[de5]); him; her; it","(partícula posesiva, equivalente literario de 的 [DE5]); a él; su; él",2255312,https://translate.google.com/translate_tts?ie=UTF-8&q=之&tl=zh&client=tw-ob
得,de,to have to; must; ought to; to need to,tener que; debe; debería; necesitar,2151664,https://translate.google.com/translate_tts?ie=UTF-8&q=得&tl=zh&client=tw-ob
按,an,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment,presionar; para empujar; para dejar de lado o guardar; para controlar; para contener; para mantener la mano encendida; para verificar o referirse a; de acuerdo a; a la luz de; (de un editor o autor) para hacer un comentario,2100800,https://translate.google.com/translate_tts?ie=UTF-8&q=按&tl=zh&client=tw-ob
受,shou,to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); (LGBT) bottom,para recibir; aceptar; sufrir; Sometido a; soportar; para pararse; agradable; (marcador pasivo); (LGBT) Bottom,2089476,https://translate.google.com/translate_tts?ie=UTF-8&q=受&tl=zh&client=tw-ob
像,xiang,to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.),parecerse; ser como; parecer como si; como; apariencia; imagen; retrato; Imagen bajo una mapeo (matemáticas),2039936,https://translate.google.com/translate_tts?ie=UTF-8&q=像&tl=zh&client=tw-ob
家,jia,"home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]","hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]",2010078,https://translate.google.com/translate_tts?ie=UTF-8&q=家&tl=zh&client=tw-ob
可能,ke neng,might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4],podría (pasar); posible; probable; posibilidad; probabilidad; tal vez; tal vez; CL: 個 | 个 [GE4],1997632,https://translate.google.com/translate_tts?ie=UTF-8&q=可能&tl=zh&client=tw-ob
后,hou,empress; queen; (archaic) monarch; ruler,emperatriz; reina; (arcaico) monarca; gobernante,1996688,https://translate.google.com/translate_tts?ie=UTF-8&q=后&tl=zh&client=tw-ob
才,cai,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only,capacidad; talento; sb de cierto tipo; un individuo capaz; Entonces y solo entonces; En este momento; (antes de una expresión de cantidad) solo,1994940,https://translate.google.com/translate_tts?ie=UTF-8&q=才&tl=zh&client=tw-ob
性,xing,"nature; character; property; quality; attribute; sexuality; sex; gender; suffix forming adjective from verb; suffix forming noun from adjective, corresponding to -ness or -ity; essence; CL:個|个[ge4]","naturaleza; personaje; propiedad; calidad; atributo; sexualidad; sexo; género; sufijo formando adjetivo del verbo; sufijo formando sustantivo del adjetivo, correspondiente a -ness o -ity; esencia; CL: 個 | 个 [GE4]",1993968,https://translate.google.com/translate_tts?ie=UTF-8&q=性&tl=zh&client=tw-ob
或,huo,maybe; perhaps; might; possibly; or,tal vez; tal vez; podría; probablemente; o,1973550,https://translate.google.com/translate_tts?ie=UTF-8&q=或&tl=zh&client=tw-ob
由,you,to follow; from; because of; due to; by; via; through; (before a noun and a verb) it is for ... to ...,seguir; de; debido a; debido a; por; a través de; a través de; (antes de un sustantivo y un verbo) es para ... para ...,1955075,https://translate.google.com/translate_tts?ie=UTF-8&q=由&tl=zh&client=tw-ob
地方,di fang,"area; place; space; room; territory; CL:處|处[chu4],個|个[ge4],塊|块[kuai4]","área; lugar; espacio; habitación; territorio; Cl: 處 | 处 [chu4], 個 | 个 [GE4], 塊 | 块 [Kuai4]",1895076,https://translate.google.com/translate_tts?ie=UTF-8&q=地方&tl=zh&client=tw-ob
元,yuan,currency unit (esp. Chinese yuan); (bound form) first; original; primary; (bound form) basic; fundamental; (bound form) constituent; part; (prefix) meta-; (math.) argument; variable; era (of a reign); (Tw) (geology) eon,Unidad de divisas (especialmente yuan chino); (forma unida) primero; original; primario; (forma unida) básico; fundamental; (forma unida) constituyente; parte; (prefijo) meta-; (Math.) Argumento; variable; era (de un reinado); (Tw) (geología) eon,1845568,https://translate.google.com/translate_tts?ie=UTF-8&q=元&tl=zh&client=tw-ob
手,shou,"hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]","mano; (formal) para sostener; persona dedicada a ciertos tipos de trabajo; persona experta en ciertos tipos de trabajo; personalmente); conveniente; clasificador para habilidad; Cl: 雙 | 双 [shuang1], 隻 | 只 [zhi1]",1821824,https://translate.google.com/translate_tts?ie=UTF-8&q=手&tl=zh&client=tw-ob
做,zuo,"to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)","hacer; para producir; escribir; para componer; hacer; participar; para sostener (una fiesta, etc.); (de una persona) ser (un intermediario, un buen estudiante, etc.); convertirse (esposo y esposa, amigos, etc.); (de una cosa) para servir como; para ser utilizado para; asumir (un aire o manera)",1811916,https://translate.google.com/translate_tts?ie=UTF-8&q=做&tl=zh&client=tw-ob
行,xing,(bound form) to walk; to go; to travel; (literary) trip; journey; visit; (bound form) temporary; makeshift; (bound form) current; in circulation; (bound form) to do; to perform; capable; competent; all right; OK!; will do; behavior; conduct (Taiwan pr. [xing4]); (literary) about to; soon,(forma unida) para caminar; ir; viajar; (literario) viaje; viaje; visita; (forma unida) temporal; improvisado; (forma unida) corriente; en circulación; (forma unida) para hacer; para realizar; capaz; competente; está bien; ¡DE ACUERDO!; servirá; comportamiento; conducta (Taiwán Pr. [Xing4]); (literario) a punto de; pronto,1792368,https://translate.google.com/translate_tts?ie=UTF-8&q=行&tl=zh&client=tw-ob
那,na,(archaic) many; beautiful; how; old variant of 挪[nuo2],(arcaico) muchos; hermoso; cómo; Vieja variante de 挪 [NUO2],1784800,https://translate.google.com/translate_tts?ie=UTF-8&q=那&tl=zh&client=tw-ob
