frase,palabra,significado_correcto,traduccion_es
你睡得好吗？,得,,¿Dormiste bien?
我以前住的地方离这里不远。,地,,Solía vivir no muy lejos de aquí.
截至二零零六年底，中国农村网民数为两千三百一十万人，这说明在六个月内共有一千四百三十万农民成为新的网民。,中,,"A finales de 2006, China tenía 23,1 millones de cibernautas rurales, lo que significa que 14,3 millones de agricultores se habían convertido en nuevos cibernautas en seis meses."
你想去哪儿?,想,,¿Adónde crees que vas?
你能用更簡單的話作解釋嗎？,更,,¿Puedes explicarlo de una manera más sencilla?
和我唱首歌。,和,,Y cantaré una canción.
我剛才吐了。,了,,Acabo de vomitar.
一輛卡車輾過一隻狗。,一,,Un camión sobre un perro.
他不知道是誰建造了這些房屋。,道,,No sabe quién construyó estas casas.
Jane 又胖、又沒禮貌、又煙不離手，可是 Ken 卻覺得她可愛、動人，所謂「愛情是盲目的」，大概就是這個意思了吧。,目,,"Jane es gorda, grosera y fumadora, pero Ken cree que es linda y se mueve, y ""el amor es ciego"", eso es lo que significa."
我现在在去车站见汤姆的路上。,在,,Voy de camino a la estación a conocer a Tom.
我不知道那是甚麼。,道,,No sé qué es eso.
很快就要三點鐘了。,要,,Pronto serán las tres en punto.
她是我的菜。,是,,Es mi tipo.
他是利茲大學的英文系教授。,文,,Es profesor de inglés en la Universidad de Leeds.
為什麼你們不告訴我你們所知道的關於湯姆的一切？,道,,¿Por qué no me cuentas todo lo que sabes sobre Tom?
她正在穿絲襪。,穿,,Lleva medias.
我從來不看色情書。,看,,Nunca leo libros porno.
我看到一本書。,看,,Vi un libro.
朝南看的时间久的话，后脑是会长出苔藓的。,看,,"Si miras al sur el tiempo suficiente, la parte posterior del cerebro crecerá musgo."
我必须得帮助他。,得,,Tengo que ayudarlo.
他既诚实又勤劳，而他的弟弟正好相反。,而,,"Era honesto y diligente, y su hermano era lo contrario."
這手錶是防水的。,水,,Este reloj es impermeable.
她在京都沒有很多朋友。,有,,No tiene muchos amigos en Kyoto.
你如果高兴，就吃一点吧。,如果,,"Si eres feliz, come un poco."
有五分之四的會員反對這個計劃。,有,,Cuatro quintas partes de los miembros se opusieron al plan.
现在他们有三个孩子。,有,,Ahora tienen tres hijos.
为什么不呢？我很乐意。,意,,Me encantaría.
如有錯誤，請改正。,有,,"Si hay un error, por favor corríjalo."
我干了件什么傻事啊！,事,,¡He hecho algo estúpido!
警察找到指纹了吗？,指,,¿Encontró la policía alguna huella?
我十分安心，因為我知道你會保守秘密。,道,,Estoy muy aliviada porque sé que guardarás un secreto.
我们就要到了。,要,,Ya casi llegamos.
如果你有任何问题，畅所欲言,有,,"Si tienes alguna pregunta, di lo que quieras."
你為什麼需要它？,要,,¿Por qué lo necesitas?
我们公司与其分公司会共享你的个人信息。,分,,Compartimos su información personal con nuestros afiliados.
我把我自己用力拉了起來。,了,,Me levanté.
发言者为新闻专员指出了新闻演讲会议厅的方向。,指,,El orador señaló la dirección de la sala de conferencias de prensa para el agregado de prensa.
湯姆指控瑪麗不誠實。,指,,Tom acusó a Mary de ser deshonesta.
他創造了我們。,了,,Él nos creó.
你有比這個再大一點的尺寸嗎?,比,,¿Tienes un tamaño más grande que este?
跨国公司预料到了规模经济的实行。,了,,Las ETN prevén economías de escala.
我成功地得到了我想要的。,地,,Logré conseguir lo que quería.
冬天过了。,了,,Se acabó el invierno.
他刀叉使得很好。,刀,,Tiene un buen tenedor de cuchillo.
她工作做得亂七八糟。,工作,,Ha hecho un montón de mierda.
还不太确定。,不,,Aún no estoy seguro.
今天我太忙了，没法和你一起去。,一,,Hoy estoy demasiado ocupado para ir contigo.
我信鬼神之说。,神,,Creo en los dioses fantasmas.
汤姆一个人回家了。,一,,Tom se fue a casa solo.
我找到你了，没有么？,有,,"Te encontré, ¿no?"
能把胡椒遞給我嗎？,能,,¿Puedes pasarme la pimienta?
讓我們來假設，這位先生犯了一個錯誤。,位,,Supongamos que este caballero cometió un error.
我家附近有个漂亮的公园。,有,,Hay un hermoso parque cerca de mi casa.
他的选举稳操胜券了。,了,,Ganó las elecciones a salvo.
我想在这儿待几天。,待,,Quiero quedarme aquí unos días.
我不觉得汤姆会做我们让他做的。,得,,No creo que Tom hiciera lo que le dejamos hacer.
他跑了。,跑,,Huyó.
汤姆最近在工作中发挥不太好。,中,,Tom no ha sido muy bueno en su trabajo últimamente.
爱很自私。,自,,El amor es egoísta.
好像挺有趣。,有,,Es un poco gracioso.
给我讲个好故事。,事,,Cuéntame una buena historia.
你覺得他的建議怎樣？,得,,¿Qué opinas de su consejo?
