frase,palabra,significado_correcto
你的行为完全合法。,行,
我没有一个愿意跟我一起旅行的人。,行,
我们在任何公司都应该是执行者。,行,
这所学校为学生提供教科书。,书,
奥运会每四年举行一次。,行,
每隔四年，奥运会举行一次。,行,
你要去伦敦读书是真的吗？,书,
我还算不上个旅行家。,行,
他把书放在了桌上。,书,
我给了你一本书。,书,
我教书。,书,
我20分钟后打给你行吗？,行,
几十个年轻人参加了示威游行。,行,
战争中使用了很多暴行。,行,
书桌上有一把剪刀。,书,
他们的婚礼将在明天举行。,行,
那家公司在广告上花了很多钱。,花,
他把信递给了秘书。,书,
我喜欢独自旅行。,行,
这就是你正在找的那本书。,书,
你知道现在哪本书卖得好吗？,书,
我花了3小时做作业。,花,
你该结束这种愚蠢的行为了。,行,
你的行李多重？,行,
行李中的一个完全是空的。,行,
我想我的行李是被偷了。,行,
让我来拿你的行李。,行,
我的其中一个行李不见了。,行,
这本书缺了两页。,书,
你们应该实行你们最初的计划。,行,
这本书很难在一周内读完。,书,
给他5000美元就行了。,行,
Taro在银行提了10000日元。,银行,
修理将要花费很多钱。,花,
因为仅一分钟就要差不多花费4镑。,花,
她花很多时间练钢琴。,花,
她和小区里大部分妇女不同，因为她会读书写字。,书,
你看的书越多，你知道的越多。,书,
书桌下有一只猫。,书,
花瓶摔成碎片了。,花,
这本教科书是用简单的英语写的。,书,
我本来应该读一下这本书。,书,
我们通常步行去学校。,行,
歹徒在一家银行抢了数千美元。,银行,
读这本书很容易。,书,
这本书他们读起来够简单了。,书,
你在任何书店都可以买到。,书,
如果你用完了那本书，我想借一下。,书,
你的行为离要求的太远了。,行,
这是一本书。,书,
你的言行必须一致。,行,
这个图书馆有超过50000册书。,书,
这些书架上没有很多书。,书,
车站前有个银行。,银行,
建這條橋花了不少錢。,花,
我在书商Maruzen那里买了这本书。,书,
可惜大学食堂没有无花果饼干。,花,
我弄了一份请愿书要求在大学食堂提供无花果饼干，你们愿意签名吗？,书,
千里之行，始于足下。,行,
我去飞机场为他送行了。,行,
我是一名銀行職員。,行,
我無法容忍她的行為。,行,
我們實行了那個計劃。,行,
我步行上學。,行,
我們花一萬二千元買了這輛車。,花,
他把數枚硬幣強行塞進了我的口袋中。,行,
你行為應該規矩些。,行,
園藝在這幾年很流行。,行,
这本书很小。,书,
请把你的行李放在这秤上。,行,
读这种的书有什么用？,书,
有时他会去图书馆了解书本的最新消息.,书,
我们的花园长满了杂草.,花,
大概會花多少時間？,花,
繡球在六月開花。,花,
我身為總統所行使的決策會有很多人不贊成。,行,
這不是紳士行為。,行,
一場春雨使花朵回復了生氣。,花,
數艘游艇在遠方的海洋並列航行。,行,
花子決心要去巴黎。,花,
这本书是我的；我自己在里面写了我的名字。,书,
岸边开满了鲜花。,花,
我已经看过这本书了。,书,
这朵花是所有花中最漂亮的。,花,
除非下雨，宴会将在花园里举行。,花,
“这是您的书吗？” “不，这不是我的书。”,书,
由于缺水，花园里所有的花都死了。,花,
我觉得这本书很有意思。,书,
他旅行期间，写了旅游日记。,行,
红色不流行了。,行,
战争一直在进行中。,行,
無論你多麼努力，也不可能只花一年左右就精通英文。,花,
美国的每个城市都有一个图书馆。,书,
我花了很久時間才習慣這噪音。,花,
英語在世界許多地方通行。,行,
這是外行的想法。,行,
她花很多錢買衣服。,花,
讓我幫您提行李。,行,
他们昨晚行房了。,行,
他们昨晚行了鱼水之欢。,行,
我昨天修了自行车。,行,
我昨天修理自行车了。,行,
兩條街道互相平行。,行,
别老躺着啊，要是躺着能挣钱也行。,行,
他的小說風行了一段長時間。,行,
太空旅行終有一天會成為平常事。,行,
看书很有意思。,书,
在人行道上走。,行,
我把他的书还给了他。,书,
演出后，女演员收到了一束花。,花,
他喜欢唱流行歌曲。,行,
你在我们家睡觉当然能让你少花点钱。,花,
我会开车，Tom不行。,行,
不注册也行吗？,行,
桌上有几本书？,书,
時間不多，我們必須馬上行動。,行,
他的行為由始至終都是對的。,行,
她是一位品行端正的女士。,行,
從國際的觀點看，應該考慮推行人口政策來平衡兩方的利益。,行,
你的行為是絕對可恥的。,行,
这是看樱花的最好时节。,花,
你该结束这愚蠢的行为了。,行,
行与行之间多留些空间。,行,
现在女生穿牛仔裤很流行。,行,
书和朋友应该是宁缺毋滥。,书,
行行好，別哭了。,行,
我会推迟去苏格兰的行程，直到天变暖一点为止。,行,
他够大了，可以独自旅行了。,行,
他在读书中度过夜晚.,书,
"望着天花板发呆,还不如读一读小说。",花,
只要两人就行， 其他任何人都不需要。,行,
这是书。,书,
彼岸花、开一千年、落一千年、花叶永不相见。情不为因果、縁注定生死。,花,
行动比语言更有说服力。别发牢骚多做事。,行,
我的做法是要行动不要空话。,行,
已经过去了很长时间，但是今晚，由于我们今天在这场选举所采取的行动，在这个决定性的时候，变革来到了美国。,行,
我的竞选经理大卫-普劳夫，这位竞选活动的无名英雄，他进行了最好的政治竞选活动，我认为这是美国历史上最棒的。,行,
竞选活动的声势也来自那些已不再年轻的人们，他们冒着严寒酷暑，敲开陌生人的家门进行竞选宣传；竞选声势也源自数百万的美国民众，他们充当志愿者和组织者，他们证明了在两百多年以后，民有、民治、民享的政府并未从地球上消失。这是你们的胜利。,行,
21个月前在寒冬所开始的一切不应当在今天这个秋夜结束。今天的选举胜利并不是我们所寻求的改变--这只是我们进行改变的机会。如果我们仍然按照过去的方式行事，我们所寻求的改变将不会发生。没有你们，没有服务和牺牲的新精神，就不可能发生改变。因此，让我们发扬新的爱国和负责精神，所有的人都下定决心参与其中，更加努力地工作，不仅是为自己而是为彼此。,行,
爱花的人是幸福的。,花,
步行10分钟就能到学校。,行,
花園裏有些漂亮的花朵。,花,
911事件让世人震惊，全球所有的政治家都一致谴责恐怖分子的这一应受人斥责的行径。,行,
你認為從這裏去東京要花多久時間？,花,
他现在正在看书。,书,
你跟隨他的指示做就行了。,行,
他為自己的行為感到非常羞恥。,行,
每年有很多书出版。,书,
去那裏要花一小時。,花,
會議將在東京舉行。,行,
從小開始我就很喜歡讀書，那時有的錢雖然不多，但也都全花在書本上。,花,
我能用旅行支票付吗？,行,
我來登記之前你可以先幫我看管行李嗎？,行,
我們必須馬上實行這個計畫。,行,
他問銀行借了很多錢。,行,
我很喜欢看书。,书,
那种鞋子用来登山是不行的。,行,
我的英语书不多于10本。,书,
以往，做一趟旅行比现在难多了。,行,
他对他儿子的行为感到不好意思。,行,
Lucy确定要和那个流行乐歌手结婚了。,行,
我舅舅给我买的这本书。,书,
她的胳臂下面夹着一本书。,书,
她在英文书写上很少犯错。,书,
她出国的时候花销很大。,花,
她推迟了去墨西哥的行程。,行,
去加拿大渡蜜月要花很多錢。,花,
到周二的时候，我就能读完这本书了。,书,
我喜欢花，比如说，玫瑰。,花,
我正在给花浇水。,花,
我原本是不需要给花浇水的，我刚浇完就下雨了。,花,
我要把我的玫瑰拿到花展上展示。,花,
他的行為是犯法的。,行,
他們把船命名為「五月花號」。,花,
會議是在這裏舉行的。,行,
那花闻起来很香。,花,
他昨天看了这本书。,书,
去花园里采花吧。,花,
我把这本书借给你。,书,
我们本该考虑一下行程。,行,
我決心要推行這個計劃。,行,
他沒錢去旅行。,行,
他打算去巴黎旅行。,行,
球彈呀彈呀的彈進了鄰家的花園。,花,
我在墨西哥旅行的時候踫見了她。,行,
我花3000日元买了一张新CD。,花,
阿姨，您别客气，喝杯开水就行。,行,
歹徒們從銀行偷取了數千元。,行,
她非常喜欢鲜花。,花,
她说她很喜欢花。,花,
她提着一只满是鲜花的篮子。,花,
她赚多少花多少。,花,
今年夏天我们要出国旅行。,行,
我有时候走路去上班，有时候骑自行车去上班，因为我家离单位很近。,行,
我得推我的自行车，因为有个轮胎漏气了。,行,
只要你好好学中文，你就能去中国读书了。,书,
反对的人再多，政府也要实行这项改革。,行,
刚才桌子上有一本书吗？,书,
他看完了一本汉语语法书，从而对中文的用法有了更深的了解。,书,
她叫玛丽，是我的秘书。,书,
我無法容忍他的行為。,行,
我叫人把我的自行车修好了。,行,
自行车是保护城市环境的一种工具。,行,
這台機器是花了不少時間和金錢才建成的。,花,
拿本书读！,书,
哪个是你的行李？,行,
博览会将举行六个月。,行,
我在你这个年纪的时候，冥王星是一颗行星。,行,
我在花園裏種了些玫瑰。,花,
帮我把书放在旁边。,书,
你的旅行怎么样?,行,
不要花那么多时间在电视上。,花,
我会把这本书邮寄出去。,书,
我住在徐家汇清风花苑。,花,
那儿有只电话亭，另一边有家银行，你看到没有？,银行,
我把行李放了在車尾箱裏。,行,
这些是谁的书？,书,
我写了这本书。,书,
百货商店前有个书店。,书,
瑞士的苹果必须好一点才行。,行,
哪一本书都行。,书,
行。,行,
“到维也纳步行要多久？”　“对不起，我是外地人。”,行,
更棒的是房子還有一個漂亮的花園。,花,
你决没决定骑自行车还是坐公共汽车去城里？,行,
她花很多钱在买鞋上。,花,
我有很多花。,花,
这些是我们的书。,书,
那些不是你们的书？,书,
那儿的书是他们的。,书,
这本书是不是他一直用的？,书,
书架上都是书。,书,
你家里有书吗？,书,
你有这本新书吗？,书,
我没有这本书。,书,
这本书我昨天买了。,书,
在这个图书馆你一次可以借三本书。,书,
哪里有人在烧书，哪里最后就烧人。,书,
我们问老师：“婚礼在哪里举行？”,行,
这个公园不小，有很多树，还有很多花。,花,
这本书明年要出版。,书,
她喜欢听俄罗斯流行音乐。,行,
行。唱个什么？,行,
这是你的自行车吗？,行,
我碰巧在图书馆看见你妈妈。,书,
欢迎会在餐厅举行。,行,
我母亲不会骑自行车。,行,
是誰把花瓶打破的？,花,
他讨厌坐飞机旅行。,行,
從這裏步行到車站要多少時間？,行,
桌子上有本书。,书,
由于罢工，我不得不取消了我的行程。,行,
我的梦想是成为一名飞行员。,行,
这是个书桌。,书,
我觉得读这本书会对你有好处。,书,
世界是本书，不旅游的人只看了一页。,书,
阿图什的无花果是甜蜜多汁的。,花,
天花板上面有隻蒼蠅。,花,
他对他的行为感到后悔。,行,
那辆自行车属于我们学校。,行,
到明天我应该已经读完这本书了。,书,
不要根据封面来判断一本书。,书,
多漂亮的花啊!,花,
这些花多美啊！,花,
我让她把书寄给我们。,书,
这些百合花很香。,花,
为了买这本书，我去了东京。,书,
我买不起自行车。,行,
书桌上的词典是我的。,书,
他放弃了成为飞行员的梦想。,行,
祸不单行。,行,
网球在学生中非常流行。,行,
雖然受到他們的強烈反對，但我們還是實行了我們的計劃。,行,
這些花放在哪裏也沒關係，顯眼就行了。,花,
你讲一点素质行吗！,行,
你别来捣蛋行吧！,行,
你们看，他们书房里倒收拾得很清洁哪。,书,
书桌上一叠专业书里有几本卡通书混在里面。,书,
我想去买个优盘，你和我一起去行吗？,行,
行。你这儿有几种款式，给我看看。,行,
我们还有做面膜、修眉毛、蒸面、香熏、指掐贴花、皮肤护理什么的。,花,
不行，我不能做赔本生意。,行,
点这些小菜行啦！够吃了！,行,
你想吃吃桂花赤豆汤吗？,花,
比如说，小区健身房、儿童乐园、图书馆等有吗？,书,
小区旁边出行方便吗？,行,
几件随机行李要过一过磅。,行,
大家的行李都拿齐了吗？,行,
给你这张卡，我们银行有廿四小时自动服务的。,银行,
请您把这张旅行支票换成现钞。,行,
请你帮我换一点零钱行吗？,行,
请问你是鹿鸣书店的老板吗？,书,
行。你住在什么地方？,行,
小伙子陪女朋友来玩，看得眼花缭乱。,花,
行了！就十元买五斤吧。,行,
你的艺术细胞很丰富，所以搞装潢设计完全行。,行,
那么你频道换掉也行啊。,行,
书和杂志太重，所以我用小纸板箱装。,书,
既然你这么喜欢种花，你把一个阳台就专门放花盆吧。,花,
当培训期满，我就可以做一个银行出纳员。,银行,
要考什么内容？有参考书吗？,书,
没关系，当然最好还是买本会话书学学上海话。,书,
每月六百元，每周一天休息，行吗？,行,
他好像对音乐剧什么的很感兴趣，而且还非常内行。,行,
上海新好男人，又会拼命工作，又会将休闲进行到底。,行,
还有件事就是马上到银行里去取些钱。,银行,
一圈转回来，还可以看看外滩近代建筑夜景，走走南京路步行街。,行,
前几年市政府花了大力气，使苏州河变清了。,花,
请你从这儿走，那儿是检查台，检查行李的地方。,行,
新婚房里，有放红枣花生桂圆和瓜子的，讨个吉利叫“早生贵子”。,花,
老师和父母都是考试迷，一个心眼出试题改考卷，出钱买参考书。,书,
接连不断地买参考书，兴师动众地请家教，搞得孩子一点空余的个时间也没有。,书,
因为现在上海家家都是独生子女，家长对小孩的读书非常重视。,书,
子女培养全社会都很关心，教育要进行改革。,行,
21世纪社会，不懂电脑不懂外语往往会步步难行。,行,
当时，国画、京戏、通俗小说、流行歌曲，都是一流的。,行,
“门槛精到九十六”、“额角头碰着天花板”、“霉头触到哈尔滨”，讲话还用意识流。,花,
今年流行甚麼款式的外套？,行,
你在這裏簽個名就行了。,行,
算一算你花了多少錢買書。,花,
最近流行什么音乐 ?,行,
我花园里的一部分玫瑰是白色的，其他的是红色的。,花,
一個人就算不吃肉，也可以健健康康的生活。所以人殺生、吃肉，只不過是為了滿足自己的口腹之慾而已。這種行為是不道德的。,行,
三十年前的時裝款式又流行起來了。,行,
火车以每小时50英里的速度前行。,行,
這朵花是黃色的，但是其他全都是藍色的。,花,
學外語要花好幾年的時間才能學得精通。,花,
书桌上有一个包。,书,
我看见一条脏狗进了花园。,花,
看起来像天书。,书,
漂亮的花不会结好的果。,花,
我種了很多花，有些是紅色的，有些是黃色的。,花,
我突然想起来我付不起那么多本书的钱。,书,
他写了两本书。,书,
我的书桌是木制的。,书,
我不喜欢乘飞机旅行。,行,
他在花园里砍了一棵树。,花,
他砍了花园里的一棵树。,花,
我能用一下这辆自行车吗？,行,
我觉得一部电影比任何书都有趣。,书,
恐怕不行。,行,
请沿着这条路走，在银行那里向右转。,银行,
你把我的行李怎么了？,行,
他说用完这本书后会借给我。,书,
我当时每个月都会购买五本书。,书,
我想他得花兩個小時才能把工作做完。,花,
花瓶在桌上留下了水跡。,花,
Nancy不可能看过这本书。,书,
Bob，帮我把他的行李搬到客厅。,行,
伦理学是指行为准则。,行,
他喜欢在花园里工作。,花,
挣的越多钱，就花得越多钱。,花,
因为是用法文写的，所以这本书很难读。,书,
若没你的帮助，我们大概无法实行这个计划吧。,行,
那个箱子里放满了书本。,书,
这本书里错误多得以至于老师把它叫作“醉鬼版”。,书,
我把空閒時間全都花在閱讀上。,花,
這朵是整個花園最漂亮的花。,花,
他非常想要一辆自行车。,行,
Bob的房里有很多书。,书,
你的行为让我惊讶。,行,
我该买这本字典，即使这要花10000日元。,花,
我需要一辆新自行车。,行,
我需要去一趟中国建设银行。,银行,
我不想花费超过10美元。,花,
他伸长了手臂为了能拿到书。,书,
他把一盏灯挂在了天花板上。,花,
你需要这本书吗？,书,
这里离银行远吗？,银行,
我想請你帮我整理花園。,花,
我们花了很长时间找停车场。,花,
我花了两个小时来记这个句子。,花,
犹豫了片刻之后，他把书放在了桌子上。,书,
长裙子很流行。,行,
我把这本书从头到尾读了一遍。,书,
我的書每一本都可以借給你，只要你不把它們弄髒就行了。,行,
花都谢了。,花,
菊花很香。,花,
看这本书。,书,
我把你的花瓶打破了，真對不起。,花,
秘书把信塞到一个信封里。,书,
我有三个行李。,行,
许多花到了春天开始开花了。,花,
这些书是我们的。,书,
你会反对我与你同行吗？,行,
他花了一大笔钱来帮助穷人。,花,
我喜欢绣花。,花,
她绣花的时候被针刺到了。,花,
友情提示：请留意您需要换乘线路的首末班时间，以免耽误您的出行。,行,
我今天得把这本书还给图书馆。,书,
书桌上有食物。,书,
地铁在地下通行。,行,
这本书的主题是美国革命。,书,
修自行车花了我1000日元。,花,
这朵花散发出强烈的香味。,花,
这本书对我来说很难读。,书,
谁还会花时间给朋友写一封长信呢？,花,
不管你看什么书，都要仔细地看。,书,
图书馆在哪里？,书,
秘书被炒了。,书,
她有很多手提行李。,行,
這台自行車是我弟弟的。,行,
每個男孩都有一台自行車。,行,
她考虑去旅行。,行,
您有很多书。,书,
你有许多书。,书,
为什么你花了所有钱？,花,
为什么你想到外国读书？,书,
为什么您想到外国读书？,书,
这本书要4美元。,书,
我向他借了这本书。,书,
我要参加一个示威游行。,行,
读尽可能多的书。,书,
我們可以繼續玩，別吵到別人就行了。,行,
你可以读你喜欢的书。,书,
他们的旅行因为下雨延期了。,行,
她骑自行车去上学。,行,
学生因为电视和连环画而不看很多书。,书,
我们都认为您的想法是行不通的。,行,
我们都认为你的想法是行不通的。,行,
您的行为不得体。,行,
你的行为不得体。,行,
我为您的行为感到可耻。,行,
我为你的行为感到可耻。,行,
他把朋友借給他的錢全都花光了。,花,
一般我步行去学校。,行,
这个图书馆里禁止看书。,书,
这是我的行李。,行,
中國的漢字數量繁多，推行漢字簡化的目的，是把結構複雜的繁體字轉換成易學易記的簡體字，從而提高國民的識字水平。,行,
他在银行工作。,银行,
鸟的家在森林，鱼的家在江河，蜜蜂的家在花朵，小朋友的家在中国。 我们从小爱祖国， 就像鸟儿爱森林，就像鱼儿爱江河，就像蜜蜂爱花朵。,花,
他找到我的自行车。,行,
花瓶被摔成了碎片。,花,
質數就像人生，它們完全是合邏輯的，但就算你花多少時間來思考，也不能找到它們背後的規律。,花,
我想把阅读灯关了，行吗？,行,
我们的花园布满了杂草。,花,
这本书值得再看一遍。,书,
有些人不喜欢把钱存银行。,银行,
经过银行，左边就是他的办公室了。,银行,
我打算每天花幾個小時來學英文。,花,
我看完了这本书。,书,
東京去年舉行的現代藝術展，我全都去過了。,行,
婚禮會在星期六舉行。,行,
这是谁的书？,书,
我现在正忙于写一本书。,书,
花園裏的花要澆水了。,花,
他对杀父凶手进行了报复。,行,
你要去哪个高中读书？,书,
他写了一本有关中国的书。,书,
Trang，如果我能寄给你一个棉花糖，我会这么做的。,花,
太烦了。。。现在我连用个电脑不头痛都不行了！,行,
我想到巴黎读书。,书,
我不行了！我已经三天没睡过了！,行,
质数就像生活，它们是完全符合逻辑的，但即使我们花所有时间来思考，也找不到规律。,花,
我吃饭的时候看了一本书。,书,
有一天我买了一台棉花糖机。,花,
如果你没事做，那就看你房间的天花板。,花,
请耐心点，这要花时间。,花,
政治家总是因他们丑陋及不合时宜的行为受到惩罚。,行,
随着飞机对涡流的接近，飞行员要求机上的乘客系好安全带。,行,
教师应详细解释一切，不要太简洁，总是告诉学生回家后读他们的书。,书,
弗洛伊德关于人类行为的思想使他被敬为一个知识渊博的思想家。,行,
吉米试图说服他父母让他和他的朋友开车跨国旅行。,行,
流行艺人因他们忠实粉丝的追捧红了。,行,
国王的卑劣行为致使人们相信他只是个该被推翻的暴君。,行,
你的言行会跟你的父母一样，即使你曾发誓你永远不会这么做。,行,
孩子不是该被填满的花瓶，而是该被点燃的火。,花,
史密斯花了多年研究睡眠和缺乏睡眠对记忆和学习的影响。,花,
我們昨天進行了火警演習。,行,
不行，我不能让您进去，这样就多一个人了。,行,
银行在哪里？,银行,
每个学生都可以使用图书馆。,书,
您有一些书。,书,
你有一些书。,书,
他手里拿着一本书。,书,
你是个书虫。,书,
所有学生都可以自由出入图书馆。,书,
不要边走边看书。,书,
公交车驾驶员没有看见行人。,行,
要做怪事必须有两个人才行。,行,
用两只手捧住花瓶。,花,
他教书教了20年了。,书,
你有两本书。,书,
我有一本书。,书,
明天举行典礼。,行,
我们在机场为她送行。,行,
他的主意总是可行的。,行,
我很少能抽出时间看书。,书,
地球不是恒星，而是行星。,行,
我走不动，但是肯定能跛行。,行,
我們不久就能到月球旅行了。,行,
為了避免情況惡化，我們馬上採取了行動。,行,
你有两本书吗？,书,
婚禮會在一座十七世紀的教堂裏舉行。,行,
我要吃一本书。,书,
那个女孩一整天里不停的杂读书。,书,
平行四邊形是由兩組平行線組成的四邊形。,行,
這首歌在七十年代很流行。,行,
編字典是一項極花時間的工作。,花,
这本书的名字是什么？,书,
我住的公寓距離車站步行不到五分鐘。,行,
三菱銀行和東京銀行合併了。,行,
走到车站要花多少时间？,花,
校长向每个毕业生颁发了毕业证书。,书,
群众妨碍了警员执行任务。,行,
地铁站的附近有银行吗？,银行,
车站的附近有银行吗？,银行,
行胜于言。,行,
他言行不一。,行,
你能帮我拿这个行李箱吗？,行,
我从美国订购了一些新书。,书,
我对自己的行为感到羞愧。,行,
我去歐洲旅行的時候，在火車上給人偷了東西。,行,
我每天都會花一小時來學英文。,花,
我的行李箱好像被偷了。,行,
你经常去国外旅行吗？,行,
它至少要花五美元。,花,
我边走边看着书。,书,
我更愿意走路，而不是骑自行车。,行,
我去车站为我朋友送行。,行,
我连自行车都没有，更不用说汽车了。,行,
天花板上有一隻蜻蜓。,花,
那對夫婦花了很多錢來佈置他們的房子。,花,
飛機在三千米的高空飛行。,行,
我的书为什么会在这里？,书,
你能拿到架子上的书吗？,书,
这篇作文花了我两个小时来完成。,花,
我连自行车都没有，更別说汽车了。,行,
我连自行车都没有，更別提汽车了。,行,
不管哪几本，就选择三本书吧。,书,
招股说明书必须由两名保荐代表人签字。,书,
其实，书面语我搞得相当好，但是口语中，我经常会记不起来某个字的音调。,书,
从来没有见过有谁能仅通过读书就能学会打篮球的，其实学习外语也是一样的道理。,书,
有些学生在图书馆，但有些在教室里。,书,
我在图书馆看见了约翰。,书,
我还是应该买你的书。,书,
别看这样的书。,书,
我不小心打落了一个花瓶。,花,
他往右边移了书桌。,书,
这本书里面有四十张照片。,书,
湯姆把黏土塑成了一個花瓶。,花,
我给我的自行车系统地安装了防盗装置。,行,
她很想知道那束花是誰寄來的。,花,
我想还待一夜，行不行？,行,
我在银行附近碰见老朋友。,银行,
他雇用了新秘书。,书,
他有些在日本不能找到的外书。,书,
我在你的生日会送给你一辆自行车。,行,
去外國旅行不能不帶護照。,行,
搶劫銀行的後果就是在監獄裏蹲十年。,行,
很多学生买了这本书。,书,
我爸現在在花園裡頭。,花,
我要到花展上展示我的玫瑰花。,花,
海上旅行很有趣。,行,
这本书读来很有趣。,书,
我要去给花园浇水了。,花,
这些书是新的。,书,
学校与企业见面会于12月26日按期举行。,行,
火花塞该换了。,花,
在情人节，我用玫瑰花瓣拼出了我的另一半的名字。,花,
我的母亲经常让行人吃耳光。,行,
男孩收集了一把花生，然後把它們放到了一個小箱子裏。,花,
我要去花园里浇水了。,花,
他找到了我的自行車。,行,
我温书温了一个小时。,书,
有时我会在图书馆看见他。,书,
老师告诉我们必须看什么书。,书,
在美国，汽车靠右行驶。,行,
這家酒店在旅行指南上有四星級的評分，但是卻完全沒有四星級的水準。,行,
这根本不行。,行,
你们有很多书。,书,
把这本书给她。,书,
看起来这都是天书。,书,
我问他我可不可以看他的书。,书,
很多公司實行8小時工作制。,行,
你们经常旅行吗？,行,
我有新的自行车。,行,
他竟然厚着脸皮穿过我们的花园。,花,
他的爱好是画有花的图。,花,
Ken有比你更多的书。,书,
他给我写了情书。,书,
我有两本书。,书,
會議將會在七月十五日（星期二）的下午、七月十六日（星期三）的全天和七月十七日（星期四）的早上舉行。,行,
少了運氣無法航行。,行,
她種了玫瑰花。,花,
不要打开你的书。,书,
你愚蠢地行事，你会付出代价。,行,
将来我想做飞行员。,行,
那年轻人很喜欢骑自行车。,行,
为了提高出生率，中国政府花了很多钱在大熊猫成功繁殖的研究上。,花,
骑自行车不能载人，你不知道吗？,行,
你们把自行车留下，明天带着身份证和20块钱到交通局领自行车。,行,
天文學涉及恆星和行星的研究。,行,
谁也不能阻止这个计划的实行。,行,
书桌上有一个苹果。,书,
这些高官和富商的大四合院常常有精美雕刻并粉刷的横梁和柱子，并伴有精心修剪的花园。,花,
調查正在進行中。,行,
今天是交学费的最后一天，我银行卡里没钱了。,银行,
学习语言随着Skype的发行而变得更容易。,行,
他在海上旅行。,行,
他的英勇行為使他贏得了尊重。,行,
"如果你做慢一點, 它就會進行的快一點。",行,
他睡得像朵玫瑰花。,花,
"每年此時, 你會發現路邊開著很多花, 比方牛香菜，油菜和蒲公英。",花,
銀行家的生活是沉重的。,行,
我們移走了行李騰出空間讓老太太可以坐下。,行,
我们去了车站为她送行。,行,
咱们一起去图书馆学习，你看怎么样？,书,
花瓣浮在水面上。,花,
她会坐在那里看书。,书,
我喜歡旅行。,行,
就算下雨，足球比賽也會如期進行。,行,
这本书不是我的。,书,
别把鲜花插在牛粪上。,花,
咱们一起去图书馆学习，你说怎么样？,书,
咱们一起去图书馆学习，你觉得怎么样？,书,
你花這麼多的錢買了什麼東西?,花,
"孩子們不是在起居室, 而是在花園裡玩。",花,
"做正常的行為就好, 你做的已經夠瘋狂的了。",行,
不要走在花床上。,花,
我想要聽流行音樂。,行,
唯有我們有一個花園!,花,
