palabra,pinyin,sentido,traduccion,ejemplo,audio_url,score
去,qu,(después de un verbo de movimiento indica el movimiento lejos del altavoz), (después de un verbo de movimiento indica el movimiento lejos del altavoz),Ejemplo de uso con 去 - (después de un verbo de movimiento indica el movimiento lejos del altavoz),https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,(usado después de ciertos verbos para indicar desprendimiento o separación), (usado después de ciertos verbos para indicar desprendimiento o separación),Ejemplo de uso con 去 - (usado después de ciertos verbos para indicar desprendimiento o separación),https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
了,le,para terminar,para terminar,Ejemplo de uso con 了 - para terminar,https://translate.google.com/translate_tts?ie=UTF-8&q=了&tl=zh&client=tw-ob,14138144
了,le,"(utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar"")"," (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar"")","Ejemplo de uso con 了 - (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar"")",https://translate.google.com/translate_tts?ie=UTF-8&q=了&tl=zh&client=tw-ob,14138144
了,le,(literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no), (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no),Ejemplo de uso con 了 - (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no),https://translate.google.com/translate_tts?ie=UTF-8&q=了&tl=zh&client=tw-ob,14138144
了,le,completamente (no), completamente (no),Ejemplo de uso con 了 - completamente (no),https://translate.google.com/translate_tts?ie=UTF-8&q=了&tl=zh&client=tw-ob,14138144
了,le,(de ninguna manera, (de ninguna manera,Ejemplo de uso con 了 - (de ninguna manera,https://translate.google.com/translate_tts?ie=UTF-8&q=了&tl=zh&client=tw-ob,14138144
了,le,para entender claramente (variante de 瞭 | 了 [liao3]), para entender claramente (variante de 瞭 | 了 [liao3]),Ejemplo de uso con 了 - para entender claramente (variante de 瞭 | 了 [liao3]),https://translate.google.com/translate_tts?ie=UTF-8&q=了&tl=zh&client=tw-ob,14138144
起,qi,levantarse,levantarse,Ejemplo de uso con 起 - levantarse,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,criar, criar,Ejemplo de uso con 起 - criar,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,para levantarse, para levantarse,Ejemplo de uso con 起 - para levantarse,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,para apagar, para apagar,Ejemplo de uso con 起 - para apagar,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,para comenzar, para comenzar,Ejemplo de uso con 起 - para comenzar,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,aparecer, aparecer,Ejemplo de uso con 起 - aparecer,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,lanzar, lanzar,Ejemplo de uso con 起 - lanzar,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,iniciar (acción), iniciar (acción),Ejemplo de uso con 起 - iniciar (acción),https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,a borrador, a borrador,Ejemplo de uso con 起 - a borrador,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,establecer, establecer,Ejemplo de uso con 起 - establecer,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,para obtener (desde un depósito o contador), para obtener (desde un depósito o contador),Ejemplo de uso con 起 - para obtener (desde un depósito o contador),https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,"sufijo verbo, para comenzar"," sufijo verbo, para comenzar","Ejemplo de uso con 起 - sufijo verbo, para comenzar",https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,"a partir de (una hora, lugar, precio, etc.)"," a partir de (una hora, lugar, precio, etc.)","Ejemplo de uso con 起 - a partir de (una hora, lugar, precio, etc.)",https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,"clasificador para ocurrencias o eventos impredecibles: caso, instancia"," clasificador para ocurrencias o eventos impredecibles: caso, instancia","Ejemplo de uso con 起 - clasificador para ocurrencias o eventos impredecibles: caso, instancia",https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
起,qi,"Clasificador para grupos: lote, grupo"," Clasificador para grupos: lote, grupo","Ejemplo de uso con 起 - Clasificador para grupos: lote, grupo",https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob,13203900
下,xia,abajo,abajo,Ejemplo de uso con 下 - abajo,https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,hacia abajo, hacia abajo,Ejemplo de uso con 下 - hacia abajo,https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,abajo, abajo,Ejemplo de uso con 下 - abajo,https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,más bajo, más bajo,Ejemplo de uso con 下 - más bajo,https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,más tarde, más tarde,Ejemplo de uso con 下 - más tarde,https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,siguiente (semana etc.), siguiente (semana etc.),Ejemplo de uso con 下 - siguiente (semana etc.),https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,segundo (de dos partes), segundo (de dos partes),Ejemplo de uso con 下 - segundo (de dos partes),https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,declinar, declinar,Ejemplo de uso con 下 - declinar,https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,bajar, bajar,Ejemplo de uso con 下 - bajar,https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,"llegar a (una decisión, conclusión, etc.)"," llegar a (una decisión, conclusión, etc.)","Ejemplo de uso con 下 - llegar a (una decisión, conclusión, etc.)",https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
下,xia,Medir palabra para mostrar la frecuencia de una acción, Medir palabra para mostrar la frecuencia de una acción,Ejemplo de uso con 下 - Medir palabra para mostrar la frecuencia de una acción,https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob,13103574
是,shi,ser (seguido solo por sustantivos),ser (seguido solo por sustantivos),Ejemplo de uso con 是 - ser (seguido solo por sustantivos),https://translate.google.com/translate_tts?ie=UTF-8&q=是&tl=zh&client=tw-ob,12751856
是,shi,correcto, correcto,Ejemplo de uso con 是 - correcto,https://translate.google.com/translate_tts?ie=UTF-8&q=是&tl=zh&client=tw-ob,12751856
是,shi,bien, bien,Ejemplo de uso con 是 - bien,https://translate.google.com/translate_tts?ie=UTF-8&q=是&tl=zh&client=tw-ob,12751856
是,shi,verdadero, verdadero,Ejemplo de uso con 是 - verdadero,https://translate.google.com/translate_tts?ie=UTF-8&q=是&tl=zh&client=tw-ob,12751856
是,shi,(Reconocimiento respetuoso de un comando) muy bien, (Reconocimiento respetuoso de un comando) muy bien,Ejemplo de uso con 是 - (Reconocimiento respetuoso de un comando) muy bien,https://translate.google.com/translate_tts?ie=UTF-8&q=是&tl=zh&client=tw-ob,12751856
是,shi,(Adverbio para afirmación enfática), (Adverbio para afirmación enfática),Ejemplo de uso con 是 - (Adverbio para afirmación enfática),https://translate.google.com/translate_tts?ie=UTF-8&q=是&tl=zh&client=tw-ob,12751856
向,xiang,hacia,hacia,Ejemplo de uso con 向 - hacia,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,enfrentar, enfrentar,Ejemplo de uso con 向 - enfrentar,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,girar hacia, girar hacia,Ejemplo de uso con 向 - girar hacia,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,dirección, dirección,Ejemplo de uso con 向 - dirección,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,para apoyar, para apoyar,Ejemplo de uso con 向 - para apoyar,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,al lado de, al lado de,Ejemplo de uso con 向 - al lado de,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,poco antes, poco antes,Ejemplo de uso con 向 - poco antes,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,antes, antes,Ejemplo de uso con 向 - antes,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,siempre, siempre,Ejemplo de uso con 向 - siempre,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,todo el tiempo, todo el tiempo,Ejemplo de uso con 向 - todo el tiempo,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,(sufijo) adecuado para ..., (sufijo) adecuado para ...,Ejemplo de uso con 向 - (sufijo) adecuado para ...,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
向,xiang,Orientado a ..., Orientado a ...,Ejemplo de uso con 向 - Orientado a ...,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob,10940976
一,yi,uno,uno,Ejemplo de uso con 一 - uno,https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
一,yi,soltero, soltero,Ejemplo de uso con 一 - soltero,https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
一,yi,a (artículo), a (artículo),Ejemplo de uso con 一 - a (artículo),https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
一,yi,tan pronto como, tan pronto como,Ejemplo de uso con 一 - tan pronto como,https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
一,yi,completo, completo,Ejemplo de uso con 一 - completo,https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
一,yi,entero, entero,Ejemplo de uso con 一 - entero,https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
一,yi,todo, todo,Ejemplo de uso con 一 - todo,https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
一,yi,a lo largo de, a lo largo de,Ejemplo de uso con 一 - a lo largo de,https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
一,yi,"""Uno"" radical en caracteres chinos (Kangxi Radical 1)"," ""Uno"" radical en caracteres chinos (Kangxi Radical 1)","Ejemplo de uso con 一 - ""Uno"" radical en caracteres chinos (Kangxi Radical 1)",https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
一,yi,también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito, también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito,Ejemplo de uso con 一 - también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito,https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob,10673670
打,da,vencer,vencer,Ejemplo de uso con 打 - vencer,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,atacar, atacar,Ejemplo de uso con 打 - atacar,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,golpear, golpear,Ejemplo de uso con 打 - golpear,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,romper, romper,Ejemplo de uso con 打 - romper,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,para escribir, para escribir,Ejemplo de uso con 打 - para escribir,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,mezclar, mezclar,Ejemplo de uso con 打 - mezclar,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,construir, construir,Ejemplo de uso con 打 - construir,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,luchar, luchar,Ejemplo de uso con 打 - luchar,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,buscar, buscar,Ejemplo de uso con 打 - buscar,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,hacer, hacer,Ejemplo de uso con 打 - hacer,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,para atar, para atar,Ejemplo de uso con 打 - para atar,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,para emitir, para emitir,Ejemplo de uso con 打 - para emitir,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,disparar, disparar,Ejemplo de uso con 打 - disparar,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,calcular, calcular,Ejemplo de uso con 打 - calcular,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,jugar (un juego), jugar (un juego),Ejemplo de uso con 打 - jugar (un juego),https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,desde, desde,Ejemplo de uso con 打 - desde,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
打,da,de, de,Ejemplo de uso con 打 - de,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob,9783517
等,deng,esperar,esperar,Ejemplo de uso con 等 - esperar,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,esperar, esperar,Ejemplo de uso con 等 - esperar,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,Para el momento, Para el momento,Ejemplo de uso con 等 - Para el momento,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,cuando, cuando,Ejemplo de uso con 等 - cuando,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,hasta, hasta,Ejemplo de uso con 等 - hasta,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,etcétera, etcétera,Ejemplo de uso con 等 - etcétera,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,etc., etc.,Ejemplo de uso con 等 - etc.,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,et al., et al.,Ejemplo de uso con 等 - et al.,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,(forma unida) clase, (forma unida) clase,Ejemplo de uso con 等 - (forma unida) clase,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,rango, rango,Ejemplo de uso con 等 - rango,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,calificación, calificación,Ejemplo de uso con 等 - calificación,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,(forma unida) igual a, (forma unida) igual a,Ejemplo de uso con 等 - (forma unida) igual a,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,igual que, igual que,Ejemplo de uso con 等 - igual que,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,(se usa para terminar una enumeración), (se usa para terminar una enumeración),Ejemplo de uso con 等 - (se usa para terminar una enumeración),https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
等,deng,(literario) (sufijo plural adjunto a un pronombre o sustantivo personal), (literario) (sufijo plural adjunto a un pronombre o sustantivo personal),Ejemplo de uso con 等 - (literario) (sufijo plural adjunto a un pronombre o sustantivo personal),https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob,9600766
上,shang,(forma unida) arriba,(forma unida) arriba,Ejemplo de uso con 上 - (forma unida) arriba,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,superior, superior,Ejemplo de uso con 上 - superior,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,arriba, arriba,Ejemplo de uso con 上 - arriba,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,anterior, anterior,Ejemplo de uso con 上 - anterior,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,primero (de múltiples partes), primero (de múltiples partes),Ejemplo de uso con 上 - primero (de múltiples partes),https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,para escalar, para escalar,Ejemplo de uso con 上 - para escalar,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,para entrar, para entrar,Ejemplo de uso con 上 - para entrar,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,subir, subir,Ejemplo de uso con 上 - subir,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,asistir (clase o universidad), asistir (clase o universidad),Ejemplo de uso con 上 - asistir (clase o universidad),https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,(complemento direccional) arriba, (complemento direccional) arriba,Ejemplo de uso con 上 - (complemento direccional) arriba,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,(sustantivo sufijo) encendido, (sustantivo sufijo) encendido,Ejemplo de uso con 上 - (sustantivo sufijo) encendido,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
上,shang,arriba, arriba,Ejemplo de uso con 上 - arriba,https://translate.google.com/translate_tts?ie=UTF-8&q=上&tl=zh&client=tw-ob,9291636
而,er,y,y,Ejemplo de uso con 而 - y,https://translate.google.com/translate_tts?ie=UTF-8&q=而&tl=zh&client=tw-ob,9166912
而,er,así como también, así como también,Ejemplo de uso con 而 - así como también,https://translate.google.com/translate_tts?ie=UTF-8&q=而&tl=zh&client=tw-ob,9166912
而,er,y entonces, y entonces,Ejemplo de uso con 而 - y entonces,https://translate.google.com/translate_tts?ie=UTF-8&q=而&tl=zh&client=tw-ob,9166912
而,er,pero (no), pero (no),Ejemplo de uso con 而 - pero (no),https://translate.google.com/translate_tts?ie=UTF-8&q=而&tl=zh&client=tw-ob,9166912
而,er,todavía (no), todavía (no),Ejemplo de uso con 而 - todavía (no),https://translate.google.com/translate_tts?ie=UTF-8&q=而&tl=zh&client=tw-ob,9166912
而,er,(indica una relación causal), (indica una relación causal),Ejemplo de uso con 而 - (indica una relación causal),https://translate.google.com/translate_tts?ie=UTF-8&q=而&tl=zh&client=tw-ob,9166912
而,er,(indica el cambio de estado), (indica el cambio de estado),Ejemplo de uso con 而 - (indica el cambio de estado),https://translate.google.com/translate_tts?ie=UTF-8&q=而&tl=zh&client=tw-ob,9166912
