frase,palabra,significado_correcto,traduccion_es
我不太擅长打高尔夫球。,打,,No soy muy bueno en el golf.
我告诉过你不要叫我“汤姆”吧？,叫,,"Te dije que no me llamaras Tom, ¿verdad?"
你不要死。,要,,No te mueras.
这样想的人很少。,人,,Muy pocas personas piensan de esa manera.
她相信我是无辜的了。,了,,Cree que soy inocente.
湯姆輸入密碼。,入,,Tom ha introducido la contraseña.
你看的书越多，你知道的越多。,道,,"Cuanto más leas, más sabes."
男人是猎人而女人就是他的猎物。,而,,Un hombre es un cazador y una mujer es su presa.
成千上万的人想要知道答案。,道,,Miles de personas quieren respuestas.
這是程度的問題。,是,,Esa es la magnitud del problema.
问问他会不会说日语。,日,,Pregúntale si habla japonés.
舉例說，如果一個老師警告學生不要吸煙，但自己卻每天吸個不停，那麼這個警告就是自相矛盾的了。,但,,"Por ejemplo, si un maestro advierte a un estudiante que no fume, sino que fume todos los días, entonces la advertencia es contradictoria."
非常感谢。,常,,Muchas gracias.
他提议大家一起去游泳。,一,,Sugirió que todos fuéramos a nadar juntos.
Carl，你被钱迷住了。,了,,"Carl, estás obsesionado con el dinero."
明天下午他在醫院。,在,,Está en el hospital mañana por la tarde.
沒什麼事就不要找我，有事了更不要找我。,有,,No me llames si necesitas algo.
我每天都用谷歌。,都,,Uso Google todos los días.
你的面试如何？,面,,¿Cómo estuvo tu entrevista?
我要几个土豆。,要,,Tomaré unas patatas.
他们说他非常勤奋。,常,,Dijeron que era muy diligente.
你的手臂怎麼了？,手,,¿Qué le pasó a tu brazo?
我从一开始就错了。,一,,Me equivoqué desde el principio.
米克為嬰兒取名為理查。,名,,Mick llamó al bebé Richard.
如果你认真学习，就有希望通过考试。,有,,"Si estudias duro, tienes la esperanza de aprobar el examen."
湯姆是瑪麗的繼子。,是,,Tom es el hijastro de Mary.
這把刀不好切東西。,刀,,Este cuchillo no corta cosas.
他們沒有信守諾言。,有,,No cumplieron sus promesas.
你非常勇敢。,常,,Eres muy valiente.
她把東西吃得一乾二淨。,一,,Se lo come todo limpio.
Mario是義大利的公民 。,是,,Mario es ciudadano de Italia.
你每個月花多少錢呀？,花,,¿Cuánto gastas cada mes?
她詳細陳報了旅行過程中的突發事件，並提出改進建議。,中,,Dio una descripción detallada de los acontecimientos inesperados en el proceso de viaje y sugirió cambios.
他們想在艾菲爾鐵塔前面拍張結婚照。,面,,Quieren tomar una foto de boda frente a la Torre Eiffel.
你就算多努力，也不可能在一兩個星期內做完。,一,,"Incluso si te esfuerzas más, no puedes hacerlo en una o dos semanas."
他唇色苍白。,他,,Sus labios están pálidos.
四個人用餐。,人,,Cuatro personas para comer.
我很幸運，被選中了。,中,,Tengo suerte de que me hayan elegido.
我不会上当的。,不,,No caeré en la trampa.
我不很开心。,心,,No soy feliz.
我不喜歡假陽具，我更偏愛真的𣬠𣬶。,真,,"No me gustan los consoladores falsos, prefiero los consoladores de verdad."
交通事故没有一天是不在发生的。,有,,Un accidente de tráfico no ocurre en un día.
别哭了！哭也不能解决问题。,不能,,"Deja de llorar, llorar no resuelve nada."
我无法忍受这里的寒冷。,里,,No soporto el frío aquí.
经过几十年的山林绿化事业，秃头山基本上都被消灭了。,年,,"Después de décadas de verdor, las montañas calvas fueron eliminadas en gran medida."
我焦急地在等着去聚会。,地,,Estoy ansioso por ir a la fiesta.
第一学期四月份开始。,一,,El primer mandato comienza en abril.
也許你舔了它?,了,,¿Tal vez lo lamiste?
幸福是由自己的心决定的。,心,,La felicidad está determinada por tu propio corazón.
他好像知道這個秘密。,道,,Parece saber el secreto.
我再也不想看到她。,看,,No quiero volver a verla.
你在准备论文答辩吗？,文,,¿Estás preparando tu tesis?
他偶尔会来拜访我。,他,,Vino a visitarme de vez en cuando.
她找到了一份打字員的工作。,一,,Encontró un trabajo como mecanógrafa.
我就是這樣把機器造出來的。,是,,Así es como construí la máquina.
吉米试图说服他父母让他和他的朋友开车跨国旅行。,行,,Jimmy trató de convencer a sus padres para que él y sus amigos condujeran por todo el país.
你要相信我。,要,,Tienes que creerme.
她搭計程車到博物館。,到,,Tomó un taxi al museo.
我打電話過去時，瑪莉已經做了一小時的針線活兒。,一,,"Cuando llamé, Mary había estado haciendo un trabajo de aguja durante una hora."
我猜她超過三十歲了。,了,,Supongo que tiene más de 30 años.
我正在幻想。,正,,Estoy fantaseando.
"春天過去了, 夏天開始了。",了,,"Se acabó la primavera, se acabó el verano."
他说话的样子好像知道你所有的事情。,道,,Habla como si lo supiera todo sobre ti.
你们想喝茶还是咖啡？,是,,¿Quieres un poco de té o café?
未經允許請勿進入這個房間。,入,,No entre en esta habitación sin permiso.
我不想念他们。,不,,No quiero leerlos.
她以前是一位老師。,位,,Solía ser profesora.
他说了他也爱我。,了,,Dijo que también me amaba.
最坏的情境是什么？,最,,¿Cuál es el peor escenario?
他是個表裏如一的人。,一,,Es un hombre de la misma escala.
这部漫画在中国很受欢迎,中,,Este cómic es popular en China.
我去了动物园。,了,,Fui al zoológico.
吃了沒,了,,¿Ya has comido?
用英語回答下列問題。,用,,Responda las siguientes preguntas en inglés.
不久前。,前,,No hace mucho.
不要靠近我，我感冒了。,靠,,"No te acerques a mí, tengo un resfriado."
有辆车停在入口。,有,,Hay un coche estacionado en la entrada.
聽起來像是我戀愛了嗎？,像,,¿Eso suena como si estuviera enamorado?
此藥只供外用。,外,,Es sólo para uso externo.
我厌倦了他的老笑话。,老,,Estoy cansado de sus viejos chistes.
他们是哪里的?,是,,¿A dónde pertenecen?
汤姆的房间非常小。,常,,La habitación de Tom es muy pequeña.
我是一個虔誠的教徒，我相信死後的生命。,一,,"Soy un verdadero creyente, y creo en la vida después de la muerte."
我和汤姆说了，我觉得这个主意很好。,意,,"Hablé con Tom, creo que es una buena idea."
橙子在我嘴里留下了一种奇怪的味道。,道,,Naranja dejó un extraño olor en mi boca.
修不了。,了,,No puedo arreglarlo.
我让她生气了。,生,,La enfadé.
凱特從她的父親那裡得到了一些錢。,一,,Kate recibió algo de dinero de su padre.
他們在小學時就是朋友了。,了,,Eran amigos en la escuela primaria.
上课时，老师问了学生问题。,生,,"En clase, el maestro hizo preguntas sobre los estudiantes."
你有認識好的牙醫嗎？,有,,¿Conoces a algún buen dentista?
这儿的人对吃很讲究，所以即使是很便宜的餐馆，如果味道不好的话，也很快就会关门大吉的。,即,,"La gente aquí come muy bien, así que incluso los restaurantes baratos, si no saben bien, cerrarán pronto."
我是中文母语者。,中,,Soy una lengua materna china.
瑪麗亞收到了一封從德國來的信。,一,,María recibió una carta de Alemania.
富士山有多高？,有,,¿Qué tan alto es el monte Fuji?
這些花放在哪裏也沒關係，顯眼就行了。,花,,No importa dónde estén las flores.
我們會買麵包。,包,,Compraremos pan.
我覺得這計畫不是很聰明。,是,,No creo que sea muy inteligente.
他的钟比我的贵。,比,,Sus campanas son más caras que las mías.
不要这么恶心。,心,,No seas tan desagradable.
和都市生活相比，鄉村生活和諧多了。,比,,La vida en las aldeas es mucho más armoniosa que la vida urbana.
不要把你的手肘放在桌子上。,手,,No pongas el codo sobre la mesa.
你想要什麼嗎？,要,,¿Quieres algo?
你是个坏孩子。,是,,Eres un chico malo.
他畫了牆上的那幅畫。,了,,Dibujó la pintura en la pared.
那个胖女人拿着一只猴子。,拿,,Esa mujer gorda con un mono.
我在房間睡覺。,在,,Estoy durmiendo en mi habitación.
我拒绝了付款。,了,,Me negué a pagar.
我昨晚寫了一封情書。,一,,Escribí una carta de amor anoche.
玛丽告诉我她计划搬去波士顿,去,,Mary me dijo que planeaba mudarse a Boston.
他们都很喜欢。,喜,,A todos les encanta.
他的房子遭到雷擊。,到,,Su casa fue golpeada por un rayo.
他不仅给我衣服，还给我食物。,不,,"No sólo me dio ropa, me dio comida."
生活並不都是輕鬆愉快的。,生,,La vida no siempre es fácil y agradable.
我不会卖的。,不,,No lo venderé.
他不是我男友，他是我弟。,是,,"No es mi novio, es mi hermano."
你应该能解决。,能,,Deberías ser capaz de arreglarlo.
我的父親是患癌症死的。,是,,Mi padre murió de cáncer.
他把包放在桌上。,在,,Puso la bolsa sobre la mesa.
爱的标准就是无限度地去爱。,地,,El criterio del amor es el amor sin límite.
他覺得自己像是博物館裡的展品。,像,,Cree que es como una exposición en un museo.
她的老公是英文老师，所以她能免费上英文课。,文,,"Su marido era profesor de inglés, por lo que podía tomar clases de inglés de forma gratuita."
他儿子小时候就死于癌症了。,了,,Su hijo murió de cáncer de niño.
他們稱他膽小鬼。,小,,Lo llaman cobarde.
他们买了跟你同款的相机。,同,,Compraron la misma cámara que tú.
最近的天氣愈來愈涼爽了。,最,,El clima reciente se está enfriando.
不好意思，現在線路繁忙。,意思,,"Lo siento, es una línea ocupada."
以前的人不知道地球是圓的，也不知道地球是繞著太陽轉的。,道,,La gente antes de nosotros no sabía que la Tierra era redonda o que estaba orbitando alrededor del sol.
他法语说得很流利。,流,,Habla francés con fluidez.
忽然天氣轉為多雲。,多,,"Entonces, de repente, el clima se convirtió en nubes."
你找錯人了。,找,,Tienes al tipo equivocado.
我将6点回来。,回,,Volveré a las 6:00.
後來我明白北京人走路走得慢。,人,,Entonces me di cuenta de que los Beijingers eran lentos para caminar.
我不喜歡用洗衣液。,喜,,No me gustan los fluidos de lavado.
今天下午天氣會變差。,今,,El tiempo empeorará esta tarde.
格罗宁根方言好难啊。,方,,El dialecto de Groningen es tan difícil.
要我解释给你听是不可能的。,要,,Es imposible para mí explicártelo.
汤姆被强迫回家。,家,,Tom se vio obligado a ir a casa.
奧林匹斯山? 那不是希臘眾神鬼混的地方?,神,,"Olimpo, ¿no es ahí donde pasan el rato los griegos?"
紅色很漂亮，但還比不過藍色。,比,,"El rojo es hermoso, pero no es tan bueno como el azul."
因为没有一个人会说英语，所以我最近都没怎么练习。,有,,"Porque nadie habla inglés, no he practicado mucho últimamente."
他一向只关心具体问题。,一,,Siempre ha estado preocupado sólo por cuestiones específicas.
現在輪到我兄弟了。,了,,Ahora es el turno de mi hermano.
JST代表日本標準時間。,日,,JST representa el tiempo estándar de Japón.
是的，这是我的房子。,是,,"Sí, es mi casa."
我很确定你也会为我做同样的事。,同,,Estoy seguro de que harás lo mismo por mí.
如果今天是星期日，我會去釣魚。,如果,,"Si es domingo, iré a pescar."
我們很滿意我們的車。,意,,Estamos contentos con nuestro coche.
虽然Luciano可能已经是出类拔萃，但他还是乳臭未干。,但,,"Aunque Luciano pudo haber sido excelente, todavía apesta a leche."
喜爱孤独者，非神即兽。,即,,"Ama a los solitarios, no a los dioses ni a las bestias."
他特别的喜欢历史。,喜,,Le gusta particularmente la historia.
托馬斯，你還要什麼？,要,,"Thomas, ¿qué más quieres?"
Bill进去检查过了。,了,,Bill entró y lo comprobó.
不要担心，一切都会好的。,一,,"No te preocupes, todo estará bien."
我結婚了。,了,,Estoy casado.
托尼英语说得很好。,得,,Tony habla muy bien en inglés.
台北的夏天非常悶熱潮濕喔！,常,,¡El verano en Taipei está muy aturdido y húmedo!
世界正在发展得太快。,世,,El mundo está creciendo demasiado rápido.
我家附近有个漂亮的公园。,有,,Hay un hermoso parque cerca de mi casa.
幾天之後你就可以開車了。,以,,Puedes conducir en unos días.
我每天讀中文。,中,,Leía chino todos los días.
您需要重新启动电脑。,要,,Necesitas reiniciar la computadora.
她把蘋果切成了兩半。,成,,Cortó la manzana por la mitad.
我以为你在我这边。,以,,Pensé que estabas de mi lado.
我幾年前去過羅馬尼亞。,前,,Fui a Rumania hace unos años.
地球像一块大吸铁石一样。,地,,La Tierra es como un snort gigante de hierro.
他不小心打到了我。,心,,Me golpeó accidentalmente.
塵緣難了。,了,,El polvo es duro.
順道一提，我的英語是絕對沒有希望了。,道,,"Por cierto, mi inglés es absolutamente inútil."
在第四行写下您的姓。,第,,Escribe tu apellido en la línea cuatro.
飞机起飞的时候紧张很正常。,常,,Las tensiones eran normales cuando el avión despegó.
我吹次中音薩克斯風。,中,,Toco saxofón medio.
這是你朋友的車嗎？,是,,¿Este es el coche de tu amigo?
從中午到下午四五點的時候都是晴天。,中,,Hace sol de mediodía a 4:00 p.m.
我不喜欢这个操作系统的页面。,面,,No me gusta esta página del sistema operativo.
我们真的爱沙巴吗？,巴,,¿De verdad amamos a Shaba?
他放開了她的手，聲音變得嚴肅。,手,,Le soltó la mano y el sonido se volvió serio.
我想没这个必要。,要,,No creo que sea necesario.
我想找Sato先生。,生,,Estoy buscando al Sr. Sato.
那个人败家子。,家,,Ese hombre perdió a su familia.
他说他很高兴。,高,,Dijo que era feliz.
"所以, 有段時間你也是個巫師嗎?",段,,"Entonces, ¿has sido un hechicero por un tiempo?"
請按他們教你的做。,按,,"Por favor, haz lo que te enseñan."
你真的不该用盗版软件。,真,,No deberías usar software pirata.
屋里请。,里,,"Por favor, adentro."
我希望人们满意。,意,,Quiero que la gente esté satisfecha.
給鬆餅機塗上油。,油,,Ponga aceite en la máquina de magdalenas.
他們的父親是一個計程車司機。,一,,Su padre era taxista.
这座城堡比那座漂亮。,比,,Este castillo es más hermoso que ese.
UK是英国的缩写。,是,,Reino Unido es un acrónimo británico.
"快點, 我們要離開了!",要,,"¡Vamos, nos vamos!"
闭上你的狗嘴。,上,,Cierra la puta boca.
你是老师吗？,老,,¿Eres profesor?
原来你是个萝莉控。,是,,Así que eres un Lori Control.
汤姆几乎跟他爸一样高。,一,,Tom era casi tan alto como su padre.
他告诉我她的小秘密。,小,,Me contó su pequeño secreto.
别忘了把香烟熄掉。,了,,No olvides apagar los cigarrillos.
他把他的放在了我的肩上。,了,,Puso sus cosas en mi hombro.
我今早起床時天正在下雨。,早,,Me desperté esta mañana cuando llovió.
我們過多久才能離開？,多,,¿Cuánto tiempo nos llevará irnos?
他們漫不經心還未察覺到危險。,心,,No son conscientes del peligro.
公司的医疗保险覆盖了全部的医疗费用。,了,,El seguro médico de la empresa cubre el costo total de la atención médica.
我要吃本地菜，浓油赤酱的栗子红烧肉。,肉,,"Voy a comer comida local, caliente y roja con castañas."
爱民主就是爱平等。,主,,El amor a la democracia es el amor a la igualdad.
瑪麗婭花很多錢買衣服。,花,,María gastó mucho dinero en ropa.
"買這麼貴的機器真是浪費, 而他甚至不知道怎麼用電腦。",道,,"Comprar una máquina tan cara es un desperdicio, y ni siquiera sabe cómo usar una computadora."
湯姆現在能照顧自己了。,了,,Tom puede cuidar de sí mismo ahora.
还记得咱们造木桥那时候么？,么,,¿Recuerdas cuando construimos el Woodbridge?
就算是這樣，也不要用「漂亮」來形容男人嘛。,要,,"Aun así, no uses ""hermoso"" para describir a los hombres."
一日之计在于晨。,一,,El plan de un día es por la mañana.
你们是医生。,生,,Ustedes son médicos.
汤姆可能还活着。,可能,,Tom aún podría estar vivo.
我不喜欢看电视。,看,,No me gusta ver televisión.
這個表格好像有點複雜，你可以幫我填嗎？,有,,Este formulario parece complicado. ¿Podría llenarlo por mí?
他说戴维斯必须被抓住。,被,,Dijo que Davis tenía que ser atrapado.
我记得见过皇后。,后,,Recuerdo haber visto a la reina.
如果她知道他的电话号，就能打电话给他。,道,,"Si ella sabe su número, puede llamarle."
我聽不懂她在說甚麼。,在,,No entiendo lo que está diciendo.
这是我奶奶的食谱。,是,,Esta es la receta de mi abuela.
请告诉我们你家庭的状况。,家,,"Por favor, háblanos de tu familia."
为了不感冒，请带上这件毛衣。,了,,"Para no resfriarse, por favor, traiga este suéter."
我觉得汤姆有危险了。,有,,Creo que Tom está en peligro.
他們總是在抱怨。,是,,Siempre se quejan.
我依稀記得見過他。,得,,Apenas recuerdo haberlo visto.
我站著睡覺。,站,,Estoy de pie y durmiendo.
我很放松。,放,,Estoy relajado.
请过目25页的地图。,目,,Pase la página 25 del mapa.
我们就要到了。,要,,Ya casi llegamos.
今天买的这几件吊带不适合夏天穿。,穿,,Las correas que compramos hoy no son para el verano.
麻煩您稍待一下。,一,,Disculpe un momento.
他聽到某人叫救命。,叫,,Oyó a alguien pidiendo ayuda.
“全世界的各位，你们好！”,位,,"""¡Hola, gente del mundo!"""
這個詞源自于希臘語。,于,,La palabra se originó en griego.
這是一部低成本的電影。,一,,Es una película de bajo costo.
我把我的相機借給了湯姆和保拉。,了,,Le presté mi cámara a Tom y Paula.
请问去大世界怎么走？,世,,¿Cuál es el camino al gran mundo?
行了！就十元买五斤吧。,了,,"Muy bien, cinco libras por diez dólares."
我的腿比你的小。,比,,Mis piernas son más pequeñas que las tuyas.
"如果她的體溫上升, 派人去請醫生來。",如果,,"Si su temperatura sube, envía a alguien a buscar un médico."
我不知道它是好是壞。,道,,No sé si es bueno o malo.
那里的天气怎么样？,里,,¿Cómo estuvo el tiempo allí?
他狀態真的很好。,真,,Está en muy buena forma.
他费了不少劲，爬上了那棵树。,了,,Se tomó muchas molestias para subir a ese árbol.
我希望你早点告诉我。,早,,Ojalá me lo hubieras dicho antes.
这是场长久的战争。,是,,Fue una guerra larga.
他同我说德语。,同,,Hablaba alemán conmigo.
湯姆和我是好朋友。,是,,Tom y yo somos buenos amigos.
第二個吧。,第,,La segunda.
怎么会是在一所私校呢？,一,,¿Cómo puede ser una escuela privada?
我們不在波士頓。,在,,No estamos en Boston.
我確定他會生氣。,生,,Estoy seguro de que se enfadará.
在你忘記之前把它寫下來。,前,,Escríbelo antes de olvidarlo.
全都好吃！,全,,¡Está todo bien!
这本字典是我的。,字,,Este diccionario es mío.
我对那些事记忆犹新，就好像发生在昨天。,像,,"Mis recuerdos de esas cosas son frescos, como si hubieran ocurrido ayer."
我很冷。你介意把暖气打开吗？,意,,Tengo frío. ¿Te importa encender el calor?
不要插手我的私生活。,手,,No interfieras con mi vida privada.
我买了两条裤子。,了,,Compré dos pantalones.
那董事長在公司有點地位，就自以為很了不起。,位,,El presidente tiene una posición en la compañía y piensa que es increíble.
俗話說：不入虎穴，焉得虎子；可俗話又說：老虎屁股摸不得！,老,,"El dicho es: ""No entres en la guarida de un tigre"". Pero el dicho dice: ""No puedes tocar el culo de un tigre""."
不，謝謝你。我吃飽了。,了,,"No, gracias, estoy lleno."
替我寄了那封信！,了,,¡Envíame esa carta!
请用铅笔写您的名字。,字,,"Por favor, escriba su nombre en un lápiz."
拜託，快開門。,快,,"Por favor, abre la puerta."
在所有的游戏里有最重要的特点: 它们都拥有法则。,有,,Hay las características más importantes en todos los juegos: todos tienen las reglas.
对动物来说这不是什么残酷的事情。,事,,No es algo cruel para los animales.
汤姆可能还在学法语。,可能,,Tom todavía puede estar estudiando francés.
那家店賣筆記本嗎？,家,,¿Esa tienda vende cuadernos?
這超出了我的想像範圍。,像,,Está más allá de mi imaginación.
房里闻起来有股烟味。,有,,La habitación huele a humo.
匈牙利和斯洛伐克是邻国。,是,,Hungría y Eslovaquia son países vecinos.
汤姆在澳大利亚呆了三年。,年,,Tom pasó tres años en Australia.
为什么你送给他这个礼物？,么,,¿Por qué le diste este regalo?
她總是隨心所欲。,心,,Siempre hace lo que quiere.
汤姆在拉斯维加斯里结婚了。,了,,Tom se casó en Las Vegas.
玛丽把一些花放进了花瓶。,一,,Mary puso flores en el jarrón.
請給我一點兒水。,水,,"Dame un poco de agua, por favor."
没有人可以共侍二主。,有,,Nadie puede servir al Segundo Maestro.
抱怨不會改變任何東西。,任,,La queja no cambiará nada.
今晚谁发言？,今,,¿Quién tomará la palabra esta noche?
这个计划虽然已经决定实施了，但是具体细节还需要从长计议。,但,,"Aunque se ha decidido aplicar el plan, es necesario examinar los detalles a largo plazo."
我真的不知道。,道,,Realmente no lo sé.
我任何地方都找不到我的傘。,地,,No puedo encontrar mi paraguas en ninguna parte.
去您那儿怎么走最方便？,方,,¿Cómo puedo ir a tu casa?
你不能在電視上罵粗口。,不能,,No puedes jurar por la televisión.
你最好別在那種地方走來走去。,地,,Será mejor que no camines por ahí.
他晚上很晚回家。,家,,Llegó a casa tarde por la noche.
从山上走来一只巨大的怪物。,一,,De las montañas vino un monstruo gigante.
她挥着她的手，直到火车消失在视线之外。,手,,Agitó la mano hasta que el tren desapareció de la vista.
一点问题都没有！,有,,¡No hay problema!
一切正常！,一,,¡Todo está bien!
对于那些想要修订现行著作权法的人，我希望他们这一晚是轻松的一晚，但实际上我希望其他人的夜晚也是轻松的。,但,,"Para aquellos que deseen modificar las leyes de derechos de autor existentes, espero que tengan una noche fácil esta noche, pero de hecho espero que otros tengan una noche fácil."
玛丽在游乐园发现了一个男孩在独自哭泣，便轻声地问道：“喂，你，怎么了呀？迷路了吗？姐姐带你到迷路儿童中心好不好？”,中,,"Mary encontró a un chico llorando solo en el parque de diversiones y dijo: ""Oye, ¿qué te pasa? ¿Estás perdido? ¿Qué tal si mi hermana te lleva al centro de niños perdidos?"""
她不喜欢唱悲伤的歌。,喜,,No le gusta cantar canciones tristes.
我希望你去那裡。,那,,Quiero que vayas allí.
翻譯這個詞。,翻,,Es una palabra que se traduce.
湯姆非常地喜歡動物。,地,,Tom ama mucho a los animales.
"这家商店有很多商品, 说不定也有你想买的东西",有,,"Hay muchas cosas en esta tienda, tal vez hay algo que quieres comprar."
汤姆常常说他不会晚到，可是他一直会。,一,,"Tom solía decir que no iba a llegar tarde, pero siempre lo estaba."
我要溫習一下我的英文。,一,,Voy a estudiar inglés.
我對口語英語更感興趣。,更,,Me interesa más el inglés que el inglés.
盒子上面不要放任何東西。,面,,No pongas nada en la caja.
你凌晨兩點才去睡覺嗎？難怪你今天看起來這麼沒精神了。,神,,¿Te acostaste a las 2:00 a.m.? No me extraña que estés tan inquieto hoy.
花园离你家有多远？,有,,¿A qué distancia está el jardín de tu casa?
他賦予價值。,他,,Da valor.
他的房间总是那么整洁干净。,是,,Su habitación está siempre tan limpia y limpia.
「不方便」的相反詞是「方便」。,反,,"Lo contrario de la palabra ""inconveniente"" es ""insolvencia""."
你唱歌像天使。,像,,Cantas como un ángel.
请笑一笑！,一,,"¡Sonríe, por favor!"
我想见汤姆。,想,,Quiero ver a Tom.
把書放在你找到的地方。,地,,Pon el libro donde lo encontraste.
你的朋友來得很晚，不是麼？,是,,"Tu amigo llega tarde, ¿no?"
你昨天晚上做了什麼？,了,,¿Qué hiciste anoche?
湯姆不是英國人。,是,,Tom no es inglés.
你最好马上走。,最,,Será mejor que te vayas.
他聽到有人叫他的名字的時候，正在昏昏欲睡。,有,,"Cuando oyó a alguien decir su nombre, estaba angustiado."
这星期有没有好戏看？,看,,¿Te lo estás pasando bien esta semana?
你想拿什么就拿什么。,拿,,Toma lo que quieras.
自行车有两个轮胎。,有,,La moto tiene dos neumáticos.
汤姆把钥匙拿出了口袋。,拿,,Tom sacó la llave de su bolsillo.
我才不管别人怎么想我。,管,,No me importa lo que la gente piense de mí.
我方已正式向貴公司陳報合作計劃的最新變更。,向,,Hemos informado oficialmente a su empresa de los últimos cambios en nuestro plan de cooperación.
如果湯姆不投降，就開槍,如果,,"Si Tom no se rinde, dispárale."
據我所知，這本書從來沒有被翻譯成日文。,有,,"Por lo que sé, este libro nunca ha sido traducido al japonés."
这非常困难。,常,,Es muy difícil.
雨下了三天。,了,,Llovió durante tres días.
有人说，他爸爸死在了国外。,有,,Algunos dicen que su padre murió en el extranjero.
我们很高兴今晚能见到大家。,家,,Nos alegra verlos a todos esta noche.
神所愛的人都很早就過世了。,神,,Los seres queridos de Dios murieron hace mucho tiempo.
我起来的时候天还是黑的呢。,是,,Me desperté en la oscuridad.
我怎樣才能連絡到你?,到,,¿Cómo puedo contactarte?
語言一定要自學才會學得好。,一,,El idioma tiene que ser autoeducado para aprender bien.
在线用户数好多啊！,多,,¡Hay muchos usuarios en línea!
不只是你，就連我也該受責難。,是,,"No eres solo tú, ni siquiera es mi culpa."
不必害怕錯誤。,不,,No tengas miedo de los errores.
您做啦！,做,,¡Lo lograste!
汤姆被敲竹杠了。,了,,Tom ha sido golpeado.
喝茶时不要加糖。,要,,No hay azúcar en el té.
